"[-12570, -15642, -15380, -20502, -24588, -27481, -28631, -27387, -24360, -19022, -12319, -9115, -6822, -4460, -1938, -211, 2467, 3493, 3548, 3777, 3671, 3256, 3413, 3861, 3503, 3343, 3242, 3315, 2879, 2643, 2874, 3071, 2711, 2542, 2850, 2925, 2746, 2633, 0, 0, 0, 0, 0, 0, 0, 2845, 0, 2740, 0, 0, 2665, 2724, 2867, 2849, 2778, 0, 0, 0, 0, 0]","[16030, 23957, 26885, 21637, 16567, 12448, 10865, 7854, 2801, -1457, -5358, -4427, -3033, -1809, -2359, -1666, 79, 710, 2448, 4745, 6876, 6755, 7152, 7212, 6659, 7460, 8279, 7566, 7568, 8283, 8275, 7577, 7791, 7846, 7900, 7828, 7470, 7711, 0, 0, 0, 0, 0, 0, 0, 7828, 0, 7877, 0, 0, 7898, 7707, 7796, 7858, 7562, 0, 0, 0, 0, 0]","[4415, -633, -3612, -1832, 794, 2379, 3739, 5631, 5458, 8106, 5654, 4522, 3827, 4121, 3252, 2945, 1277, 423, 378, -624, -940, -604, -535, -892, -565, -250, -196, -841, -251, 271, -151, -631, -120, -23, 43, 2, -100, -112, 0, 0, 0, 0, 0, 0, 0, -156, 0, -235, 0, 0, -13, -99, -327, -308, -40, 0, 0, 0, 0, 0]","[4640, 9697, 9955, 6843, 6878, 11339, 12920, 7549, 1085, 4295, 2719, 1827, 1854, 999, -944, 23, 260, -556, -1315, -358, -594, -396, -498, -1138, -700, 142, -1150, -1874, -208, -452, -1127, -747, -108, -354, -242, -490, -610, -17, 0, 0, 0, 0, 0, 0, 0, 144, 0, 123, 0, 0, -60, 342, -64, -444, -89, 0, 0, 0, 0, 0]","[-4859, -7507, -3475, 1657, 4532, 6217, 8306, 10119, 6841, 5284, 3778, 4191, 4332, 3284, 1972, 696, -120, 631, 120, -195, 619, 605, -138, 52, 159, -151, -530, -345, -50, -582, -1083, -341, 55, -138, -440, -207, 119, 234, 0, 0, 0, 0, 0, 0, 0, 47, 0, 540, 0, 0, -134, 58, 156, 519, 899, 0, 0, 0, 0, 0]","[-2073, 3892, 15097, 22898, 26612, 30474, 31193, 30996, 29742, 26735, 21751, 16548, 12860, 10517, 8040, 5030, 3315, 1728, -523, -1696, -1148, -937, -1371, -1537, -1908, -2487, -2390, -1743, -1169, -1048, -680, -299, -406, -469, -166, 77, -180, -443, 0, 0, 0, 0, 0, 0, 0, -16, 0, -308, 0, 0, 467, 324, 182, 143, 186, 0, 0, 0, 0, 0]"
"[-12734, -14137, -18888, -23794, -27050, -29378, -29626, -26320, -20717, -15182, -11021, -8556, -5300, -2641, -838, 1046, 1852, 1950, 1523, 1262, 1441, 1806, 2196, 1589, 1674, 2034, 1968, 1781, 1828, 1820, 2208, 2186, 2177, 1987, 2148, 1746, 1767, 1712, 1712, 1612, 1575, 1677, 1658, 1690, 1450, 1726, 1896, 1895, 1781, 1683, 1841, 1962, 1885, 1563, 1790, 1886, 1848, 1798, 1739, 0]","[16384, 25249, 24248, 19267, 14676, 10971, 5046, -1472, -5047, -6572, -5866, -5131, -5033, -5045, -3126, -1148, 47, 2595, 5366, 6387, 6307, 6110, 7422, 8804, 9079, 8276, 8110, 8172, 8514, 8045, 7671, 7849, 8039, 7806, 8012, 7975, 7990, 7945, 8235, 8378, 8295, 8291, 8204, 8355, 8108, 8112, 7952, 7793, 8007, 8316, 8117, 7892, 7945, 8277, 8330, 8373, 8371, 8204, 8225, 0]","[2031, -3473, -3512, -610, 233, 1754, 6737, 9035, 7400, 5643, 5360, 5217, 3991, 1757, 528, 1913, 2377, 534, -599, 13, 29, -586, -1328, -767, -146, -232, -415, -1082, -1010, -429, -386, -281, 21, 39, -50, 235, 168, 199, 200, 75, 35, 428, 480, 375, 670, 408, 49, 36, 185, 282, 179, 149, 205, 457, 230, 140, 272, 95, 73, 0]","[5209, 7645, 4270, 3912, 8150, 9261, 5570, 1937, 2098, 2639, 1365, 618, 494, -1250, -1347, -1147, -1529, 18, 1901, 948, -363, -85, 423, 33, -608, -614, -109, 611, 321, -549, -488, -300, -437, -334, -358, -909, -1059, -555, -142, -36, -179, -297, -142, -142, -28, -251, -430, -263, 473, 156, -457, -417, 11, -195, -370, -70, -12, -66, -53, 0]","[-4940, -3741, 1759, 3300, 4328, 7936, 10273, 7291, 4228, 3014, 3470, 2264, 785, 34, 1432, 1908, 328, -243, 811, 918, -61, -354, -19, 869, 414, -314, -170, 29, 583, 413, -63, 89, 215, 27, 120, 168, -312, -476, -101, 281, 559, 503, 487, 427, 214, -311, -134, 377, 472, 216, 144, 89, 359, 157, -259, -201, -50, 111, 162, 0]","[1660, 6902, 14579, 19474, 23662, 26684, 28040, 26732, 24006, 19921, 16236, 13482, 11782, 9213, 6603, 5438, 3334, 1066, 627, 686, 695, 144, -487, -338, 167, 386, 392, 232, 125, 241, 250, 23, -17, -177, -351, -491, -396, -295, -347, -219, -141, -24, -24, 131, 363, 312, 236, 127, 144, 190, 286, 245, -21, -299, -149, 216, 412, 387, 282, 0]"
"[-13686, -16888, -22245, -26937, -30603, -30886, -29079, -24302, -20766, -15665, -10626, -6593, -5071, -2854, -914, -437, 993, 1821, 2077, 1743, 2514, 2389, 2704, 2659, 2347, 1759, 2396, 2264, 1805, 1462, 1954, 1934, 2136, 1977, 1965, 1970, 2395, 2052, 1772, 1979, 2150, 2085, 2132, 2139, 2000, 2094, 2318, 2381, 2158, 2115, 2084, 2325, 2226, 2134, 2227, 2495, 2238, 2174, 2195, 0]","[16921, 28170, 31319, 20450, 11368, 7816, 1992, -816, -2715, -5619, -6954, -5318, -3828, -2478, -1228, -113, 2119, 2901, 3676, 5206, 6164, 6664, 6669, 7220, 7538, 8074, 8215, 7571, 7570, 8516, 8216, 7865, 8015, 8736, 8615, 8108, 8027, 8278, 8791, 8837, 8421, 7816, 8195, 8363, 8264, 7939, 7740, 7289, 7268, 7585, 7920, 7682, 7684, 8085, 8097, 8017, 8071, 8193, 8063, 0]","[913, -4635, -4319, -654, 3889, 5084, 4703, 4921, 7171, 6022, 4043, 1885, 2656, 3087, 2077, 1445, 1338, 1197, 250, -227, -581, 186, -92, -329, -478, 106, -429, -935, -736, 159, 0, 21, -368, -46, -59, 148, -147, 158, 955, 1089, 877, 740, 722, 610, 729, 881, 776, 356, 324, 550, 852, 479, 367, 634, 858, 582, 626, 436, 346, 0]","[8823, 16007, 8883, 1923, 6846, 3616, 2584, 4750, 413, -583, 1807, 2901, 2518, 2190, 674, 341, 1262, -1012, -1552, -441, -396, -2001, -2551, -1409, -628, -620, -1641, -1609, -9, -60, -1098, -804, 847, 508, -970, -1667, -1313, -1037, -1645, -1796, -1663, -210, 816, 548, -60, -228, -127, -81, 342, 282, -221, -165, 176, -28, -111, 131, 449, 200, -71, 0]","[-2769, -486, 3705, 7549, 9604, 8138, 6703, 8041, 6890, 3528, 1856, 2531, 3416, 1897, 873, 973, 673, 78, 37, 153, 565, 133, -449, -450, -95, -808, -1668, -778, 391, 142, -216, -246, 493, 684, 375, 131, 302, 1296, 918, 85, -196, -16, 95, 209, 44, -167, -288, -34, 408, 324, -246, -217, 186, 173, -301, -140, 55, -63, -45, 0]","[572, 7910, 18845, 25515, 28852, 28324, 28483, 26861, 23804, 20888, 16786, 12246, 9627, 8039, 6445, 4700, 3809, 2739, 1423, 549, 61, -206, -370, -476, -725, -576, -417, -555, -694, -411, -113, -155, -237, -403, -63, 40, 34, -184, -290, 143, 783, 695, 429, 392, 576, 597, 549, 361, 13, -112, -5, 124, -144, -104, 103, 68, -71, -139, 7, 0]"
"[-13460, -14989, -15212, -18507, -22997, -27532, -29035, -27735, -25435, -22801, -19482, -16779, -13434, -9511, -6579, -4131, -1780, 288, 824, 890, 1510, 1913, 2115, 2551, 2677, 2693, 2739, 2905, 2880, 2932, 3049, 3010, 2687, 2591, 2509, 2318, 2106, 2108, 2209, 2309, 2261, 2280, 2089, 2042, 2175, 2244, 2129, 2256, 2209, 2296, 2151, 2048, 2093, 2158, 2154, 1927, 1886, 2079, 2066, 0]","[14311, 20969, 19011, 16641, 12966, 10526, 7393, 732, -1402, -423, -764, -3868, -4010, -1684, -2020, -3996, -954, 1912, 1568, 2140, 3563, 4887, 4750, 4373, 5524, 6800, 6620, 6538, 6746, 6983, 7040, 7095, 7156, 8051, 8352, 7856, 8173, 8461, 8474, 8022, 7914, 8282, 8440, 8366, 8096, 8196, 8163, 8020, 7857, 8000, 8086, 8332, 7883, 7855, 7918, 8033, 8186, 8014, 7795, 0]","[303, -3312, -4813, -674, 3263, 6053, 5882, 7007, 7172, 6661, 5857, 5651, 3769, 3182, 4488, 2685, 1056, 2092, 2003, 834, -214, -101, 215, -465, -992, -285, -7, 9, -56, -198, -39, -112, -298, -452, -650, -415, 113, 311, 203, -15, 85, 269, 576, 701, 485, 229, 396, 539, 482, 180, 142, 246, 302, 142, 0, 227, 389, 296, 285, 0]","[4883, 8547, 9092, 3505, 3824, 5887, 1967, 675, 3799, 5337, 1626, -476, 2622, 3286, -1979, -2115, 3521, 1966, -2003, -1167, 1179, 847, -1655, -1558, 685, 24, -1433, -1254, -867, -685, -84, 165, 511, 515, -832, -1161, -426, -288, -359, -660, 26, 5, -163, -474, -345, 16, -183, -390, -133, 224, 336, -441, -631, 3, 276, 119, -232, -470, -229, 0]","[677, -1729, 2941, 8428, 9919, 8425, 6674, 6805, 5864, 5385, 4150, 3020, 2508, 4320, 3932, 1052, 1385, 2173, 107, -867, -416, 182, -387, -970, -277, 627, 35, -337, -452, -280, -125, 2, 8, -30, 185, 631, 621, 213, -118, -16, 278, 626, 543, 26, -140, 328, 474, 374, 106, 176, 361, 152, 73, 223, 458, 555, 226, 77, 252, 0]","[-5617, 3978, 12702, 15855, 19908, 23894, 26178, 26912, 24936, 23575, 22754, 21588, 19166, 16789, 15128, 11944, 9155, 7928, 6623, 4992, 3653, 2967, 2344, 1403, 513, 83, 189, 49, -308, -633, -774, -940, -1282, -1274, -1026, -906, -991, -728, -344, -204, -395, -520, -326, 15, -21, -104, 39, 3, -81, -94, -72, 13, -10, -67, -113, -150, -81, 71, -35, 0]"
"[-7886, -13299, -12603, -7294, -1369, 1010, -168, 812, -330, -2628, -4737, -6241, -6726, -7230, -6803, -7309, -8888, -8870, -8668, -9608, -10503, -10600, -9757, -9046, -9246, -9027, -7756, -6122, -4773, -4150, -3095, -2229, -595, 1023, 1839, 1457, 881, 582, 904, 1721, 1039, 719, 1234, 846, 1307, 2306, 1764, 1170, 1666, 2629, 2359, 1090, 817, 1745, 1535, 1358, 1470, 1482, 1622, 0]","[16406, 20238, 14020, 766, -12781, -12034, -6145, -3030, -2967, -2030, 3373, 7730, 7666, 6022, 3309, 4097, 6320, 6087, 5978, 7201, 9667, 11240, 10858, 11121, 14419, 12844, 8871, 7767, 8023, 6631, 5203, 5752, 3832, 1385, 2595, 3194, 4355, 4579, 5082, 5111, 5719, 5526, 5752, 6874, 6841, 6308, 6761, 7255, 7546, 7520, 7153, 8581, 9468, 8437, 8361, 8933, 8877, 7740, 7945, 0]","[-146, 323, 5726, 10560, 12982, 13159, 10065, 6621, 7536, 7922, 6866, 4954, 3395, 3167, 3996, 4269, 4797, 5252, 5521, 7576, 10017, 10167, 9653, 9106, 10210, 9953, 8299, 6860, 5511, 4135, 3351, 2667, 1208, 489, -223, -141, -153, -13, -295, -449, 174, -154, -465, 36, 153, -340, 84, 783, 612, 93, 20, 720, 925, -23, 171, 735, 720, 550, 163, 0]","[-39, 4701, 8134, -1161, -2785, 4495, 1606, -2989, -5890, -4992, -540, -1859, -3674, -3181, 1100, 5456, 6577, 5756, 6446, 8225, 8197, 5381, 6496, 9993, 8581, 3959, 4246, 6562, 6123, 5433, 5201, 3313, -1033, -1269, -1213, -2269, -2073, -2255, -1415, -1655, -2206, -2217, -801, -1159, -1905, -1402, -543, 118, 134, -550, 360, 956, 191, -427, 282, 116, -791, -885, -435, 0]","[-1413, 6348, 7432, 3294, 1384, 735, -1135, 625, 4110, 4891, 3964, 3688, 4565, 6489, 8961, 11488, 12830, 13143, 14514, 15912, 14179, 10769, 9214, 9737, 8653, 5735, 3795, 2941, 2674, 2687, 2177, 845, -216, -461, -452, -415, -1000, -1326, -1909, -1589, -1922, -2003, -1382, -963, -1335, -1099, -48, 196, -573, -972, 21, 663, -267, -885, -51, 127, -175, -441, -197, 0]","[1644, 8435, 18310, 20206, 14492, 7859, 3568, 3005, 2202, 170, 312, 2629, 5531, 7929, 8693, 8063, 9333, 9811, 9566, 8512, 8476, 9670, 11226, 11160, 12099, 14682, 15303, 14048, 12710, 11997, 10662, 9598, 8925, 6553, 4242, 2630, 1503, 753, 258, -98, -358, -736, -1130, -1223, -704, -567, -994, -1259, -944, -480, -839, -1894, -1160, -183, -570, -747, -202, 110, -214, 0]"
"[-9501, -18384, -15265, -12411, -10066, -7470, -7624, -8159, -8284, -8680, -9407, -9610, -9888, -9872, -9906, -9518, -8956, -8953, -9071, -8472, -7266, -6824, -6394, -5317, -3447, -2427, -1909, -409, 203, 974, 1465, 1972, 1576, 1420, 1501, 1222, 1304, 1401, 1316, 1007, 1502, 1491, 1589, 1672, 1380, 1500, 1863, 1399, 1437, 1716, 1786, 1699, 1619, 1611, 1764, 1796, 1523, 1714, 1898, 0]","[9541, 2995, -466, 413, -624, 1540, 1778, 2599, 5022, 6403, 6747, 6859, 8216, 10161, 10273, 8395, 8514, 9262, 9465, 6799, 5535, 8290, 8399, 3893, 2878, 4340, 4432, 3924, 2097, 3186, 4159, 4600, 3672, 4448, 6371, 5774, 6106, 7066, 7452, 7380, 7681, 7616, 8099, 8842, 8711, 8377, 8168, 8319, 8486, 8345, 8038, 8128, 7845, 7892, 7868, 8094, 8051, 8100, 7759, 0]","[12685, 3143, -9834, -8512, -6820, -5518, -3057, -2051, -805, 729, 674, -1049, -2942, -4410, -4818, -4999, -4406, -3429, -3171, -3764, -3805, -2289, -1536, -1991, -1561, -565, -293, 534, 911, 1165, 1564, 1545, 1184, 1074, 1583, 801, 451, 878, 706, 503, 359, 330, 364, 789, 735, 229, -194, 249, 361, 47, 67, 179, 151, 313, 54, -84, 351, 689, 507, 0]","[12259, 13919, 10422, 3310, 2231, 2127, 86, -948, 6, 2290, 1715, 2264, 4241, 4380, -659, -1122, 2268, 1883, -1366, -2365, 4591, 6384, -2411, -4435, 656, 659, -1351, -3270, -3495, -1063, -618, -2302, -1626, 2319, 1999, 367, 1073, 1089, 2, -107, 872, 757, 1553, 837, -167, -248, 444, 220, -11, -37, 232, -288, -585, -186, 237, -69, -442, -732, -518, 0]","[-9973, -19788, -17408, -8552, -6779, -4646, -3826, -4814, -5510, -6234, -8488, -9810, -9555, -8030, -6306, -4536, -2819, -1853, -2238, -2802, -808, 925, 754, 515, 1789, 3132, 2862, 2956, 2147, 1733, 882, 554, 1050, 1386, 1222, 611, 1020, 950, 749, 531, 689, 621, 866, 690, -270, -712, -131, 568, 87, 41, 421, 462, 470, 270, 260, 576, 792, 237, 125, 0]","[7402, 10729, 9695, 7444, 6862, 6179, 6494, 5181, 5120, 6373, 7406, 7008, 7035, 8705, 9955, 10132, 10476, 10852, 11159, 11765, 11110, 10536, 11199, 11432, 9437, 7561, 7448, 6724, 4671, 2782, 2882, 2427, 1102, 61, 183, 293, -498, -532, -261, 132, 474, 23, -225, -244, 153, 387, 325, 46, 55, 279, 403, 274, 159, 186, 119, 70, 87, 251, 226, 0]"
"[-8804, -14416, -14028, -14974, -18822, -21231, -20204, -19428, -18891, -16482, -14501, -13252, -11556, -9134, -7095, -6209, -4634, -4479, -2702, -1445, -1278, -545, 405, 217, 160, 752, 1107, 1153, 1320, 1684, 2120, 1803, 1684, 1735, 2143, 1898, 1579, 1625, 1922, 2163, 1939, 1579, 1647, 2015, 2216, 1917, 1585, 1833, 2183, 2126, 1871, 1798, 1856, 1948, 1877, 1907, 2060, 1930, 1902, 0]","[14191, 25450, 27584, 21507, 13561, 5947, 2668, -121, -1878, -2049, 706, 2612, 1451, 59, 1099, 2918, 2831, 2387, 4558, 5404, 3683, 3071, 4247, 6041, 6003, 5506, 6069, 6452, 6096, 6239, 6795, 6794, 7534, 7532, 6934, 7668, 8385, 8282, 7659, 7576, 8377, 8485, 8085, 7985, 7543, 7870, 8388, 8281, 7840, 7748, 8107, 8409, 8186, 8218, 8059, 8036, 7895, 7988, 8090, 0]","[1143, 1958, -3532, -158, 6074, 9099, 10272, 12261, 12286, 8790, 5589, 4881, 5400, 4708, 2616, 2245, 4319, 4046, 2019, 1911, 1926, 771, 100, -31, 87, -455, -482, -9, 295, 98, -417, -79, 314, 344, -579, -270, 336, 510, 215, -222, -140, 108, 240, 170, -437, -215, 336, 317, -270, -75, 142, 163, 1, -62, 170, 283, 80, 50, -80, 0]","[1229, -6587, 8459, 11746, 3961, 4933, 7927, 6884, 4608, 7685, 10042, 7551, 4073, 3324, 4718, 5583, 3259, 2853, 4713, 1156, -1535, 1627, 3612, 1507, -692, 10, 300, -359, -1178, -864, -308, -234, -795, -1313, 5, 937, -219, -1200, -975, 440, 569, -260, -282, -281, -276, 202, 282, -474, -417, -65, -47, -103, 182, 77, -354, -187, 410, 573, -57, 0]","[-826, -572, -4058, 3481, 5565, 4030, 4225, 5199, 2714, 499, 1194, 3091, 3122, 1201, 1477, 3891, 4347, 2173, 776, 972, 132, -393, 436, 978, 804, 242, 692, 808, 394, -459, 201, 882, 193, -459, -267, 679, 593, -295, -855, -440, 270, 212, 13, -372, 90, 814, 602, -140, -139, 460, 580, 322, 220, 326, 260, 59, 124, 260, 374, 0]","[-10468, -6979, 8712, 18549, 20189, 21970, 22174, 21392, 18405, 16086, 14168, 13704, 13339, 12711, 11473, 10695, 10141, 8655, 7808, 7729, 6736, 5030, 3464, 2628, 3005, 3033, 2574, 2181, 1856, 1418, 1102, 679, 325, 528, 365, -336, -501, 155, 387, -79, -309, 25, 195, 119, 3, -362, -3, 342, 371, 83, -168, -62, 264, 352, 190, 164, 210, 99, 94, 0]"
"[-12191, -22021, -22619, -23790, -25635, -26428, -24500, -20380, -16921, -14234, -11160, -8150, -6248, -4323, -3442, -1784, -33, -111, -46, 612, 945, 1158, 1849, 1832, 1829, 2151, 2610, 2342, 1987, 2304, 2315, 1959, 2190, 2198, 2240, 1893, 1891, 2154, 2147, 1978, 2131, 2298, 2307, 2043, 2030, 2006, 2195, 2355, 2719, 2741, 2669, 2383, 2319, 2160, 2329, 2363, 2257, 2323, 2481, 0]","[17079, 32767, 32767, 22005, 6310, 3873, -871, -3997, -3514, -1092, -2345, -2921, -1092, 1293, 1829, 1123, 1837, 2944, 4267, 5723, 5184, 5536, 5695, 6214, 7676, 6406, 5567, 7002, 7030, 6750, 7478, 7664, 8375, 8550, 8132, 9145, 9560, 8205, 7870, 8433, 8509, 7859, 7570, 7733, 7810, 7522, 7384, 7724, 7875, 7954, 7978, 7919, 8282, 8468, 7894, 7910, 8240, 7826, 7628, 0]","[-1294, 3457, -1148, 2931, 7584, 10015, 10105, 8609, 7367, 4846, 4190, 3532, 3059, 1560, 1922, 892, 660, 1751, 436, 261, 401, 276, 90, 251, 1088, 797, -289, 67, 591, -152, -321, -93, 48, 121, -133, 115, -122, -508, -242, 105, -87, 34, -26, -52, -217, -362, -351, 12, 592, 917, 669, 444, 57, 172, -133, -216, 81, 206, 512, 0]","[4247, 11834, 15994, 4256, 9312, 11791, 6241, 6629, 8440, 4810, -158, 225, 2707, 2101, -745, -513, 1647, 429, 741, -86, -1157, -1040, -388, 602, -412, -2071, -199, 567, -900, -915, -21, -98, -345, -473, 878, 1951, -26, -1116, -75, 394, 205, -684, -469, -165, -155, -526, -546, -327, -380, -281, -99, 493, 867, 144, -592, -473, -606, -854, -595, 0]","[5012, 4917, -1349, 3148, 5228, 5743, 4144, 2864, 2582, 3201, 3141, 2701, 2606, 2415, 1772, 887, 1742, 1354, 409, 773, 803, 682, 982, 1243, 400, -753, -517, 137, -588, -922, -207, -40, -170, -168, 174, -26, -494, -414, -27, 99, -17, 16, 69, 310, 361, 507, 674, 708, 685, 253, 21, -131, -135, -226, -464, -146, 25, 130, -37, 0]","[-9955, 166, 18354, 25473, 27633, 26669, 25202, 21592, 18584, 16934, 15515, 13223, 11160, 10289, 9655, 8617, 6904, 5096, 3985, 3730, 3464, 2676, 1681, 1061, 1241, 1568, 621, -115, -96, -350, -561, -487, -541, -327, -337, -187, 525, 900, 484, 440, 818, 828, 522, 297, 343, 586, 416, 196, 268, 180, -14, -335, -347, 38, 207, 102, 289, 467, 228, 0]"
"[-13932, -4913, -1827, -7951, -13728, -9862, -6638, -6615, -6047, -5725, -6019, -5591, -6295, -7031, -7329, -7382, -7415, -7747, -8191, -7804, -8437, -8035, -7638, -8611, -9565, -10436, -10622, -11166, -11655, -11660, -12101, -11990, -11239, -10119, -9420, -8294, -7107, -5183, -4003, -3368, -1955, -1069, -1472, -726, -123, 288, 882, 1056, 1115, 1257, 1378, 1696, 1572, 1752, 1828, 1818, 1603, 1794, 1967, 0]","[13240, -957, -7844, 3351, 6320, 4446, 1298, -16, -1259, -3375, -2406, 582, 2674, 1796, 1858, 1497, 1226, 1427, 3045, 4532, 3236, 2532, 4810, 6071, 7535, 9865, 9322, 7693, 6876, 6519, 6657, 7223, 7350, 5732, 5492, 6229, 4844, 3436, 3377, 3096, 4618, 5357, 4451, 3745, 3855, 5679, 7224, 6933, 5904, 6439, 7375, 7707, 6699, 5989, 7009, 8063, 7532, 6756, 7211, 0]","[10896, -6966, -8561, 2076, 13320, 7339, 1094, 2442, 4170, 4986, 5058, 5088, 6067, 6824, 6225, 5306, 4399, 2891, 1800, 1660, 2184, 2567, 2993, 2454, 1672, 1748, 1534, 2120, 3025, 2941, 3763, 4085, 3602, 2577, 2798, 2906, 2490, 1141, 1099, 882, 325, 97, 699, 767, 850, 1100, 975, 717, 244, 585, 1324, 1321, 1094, 640, 823, 1047, 1157, 916, 766, 0]","[-4727, -25922, 6381, 16377, 3877, -7059, -8505, -7086, -7153, -579, 6594, 7097, 908, -2213, -1822, -1613, -2162, -2928, -3336, -5704, -7338, -3719, 321, 2513, 6294, 4920, 1040, 1083, 1558, 3132, 4767, 4981, 3449, 2272, 3442, 2084, -118, 403, 1445, 1465, 361, -2971, -4907, -5262, -2657, -218, -1194, -3087, -2570, -630, 164, -1298, -2762, -1130, 969, 500, -1282, -997, -122, 0]","[-28349, -24100, 3180, 17562, 9365, -6502, -8058, -4665, -3253, -542, 138, 1845, 3155, 1815, 549, 206, 155, 648, 1570, 3339, 4824, 4967, 5586, 6231, 6865, 7625, 7640, 8021, 8090, 8379, 8905, 7273, 5770, 5289, 4767, 3728, 2019, 1589, 2589, 2378, 2125, 3252, 2913, 1796, 1392, 694, 144, 7, 246, 628, 475, 117, -232, -228, 92, 323, 180, -137, 105, 0]","[1048, 4849, -956, -5573, -2759, 2405, 4062, 3551, 2439, 1768, -713, -2600, -1884, 314, 2052, 3850, 4776, 5054, 5387, 7512, 8153, 7526, 7029, 7225, 7753, 8352, 9905, 11633, 11158, 11168, 11286, 11911, 12967, 13363, 12758, 12684, 12486, 11501, 9718, 7349, 5114, 5887, 6295, 4702, 3331, 2400, 2810, 2881, 2188, 1206, 1010, 1428, 1259, 473, -35, 531, 712, 296, -251, 0]"
"[4330, -155, -10095, -2436, 5048, 1326, -5466, -3076, -937, -1225, 917, 767, -1264, -1705, -1980, -2022, -1023, -1225, -1682, -2513, -1833, -1361, -1148, -1079, -1559, -1580, -2103, -2560, -2609, -2552, -2914, -3107, -2973, -2757, -2680, -2421, -2185, -2106, -1452, -296, 548, 723, 844, 1327, 867, 679, 1097, 1299, 1375, 1385, 1296, 1283, 1390, 1648, 1644, 1265, 1555, 2109, 1910, 0]","[-5356, 5214, 25238, 13289, -4614, 6055, 11904, 13857, 7264, 7287, 6376, 5697, 6572, 10538, 9870, 6441, 6069, 7001, 7158, 8724, 9713, 8696, 8092, 8489, 9512, 9700, 9308, 9394, 9813, 10380, 9916, 9618, 9426, 9209, 9550, 10162, 11054, 10645, 8921, 8666, 7480, 5752, 5775, 7371, 7543, 7627, 7654, 7336, 7765, 7804, 8227, 8100, 7154, 7243, 7776, 7813, 8111, 7853, 7299, 0]","[-4807, -2504, 9439, -515, -9105, -6755, 1936, 1325, -4426, -3093, -2626, -2220, 501, 952, -615, -2393, -4244, -5228, -2353, -33, -652, -997, -613, -889, -1779, -1697, -1382, -1824, -2571, -2382, -1827, -1222, -1150, -368, 1037, 2340, 2418, 2178, 1940, 2182, 2886, 2944, 2188, 1210, 1289, 1320, 1098, 568, 341, 574, 855, 627, 244, -187, -1, 457, 275, -355, -71, 0]","[1758, 24034, 6170, -21669, -6370, 13972, 10505, 87, -7068, -5990, -2655, -992, 1847, 310, -5283, -5369, -2614, 594, 3373, 4156, 1407, 936, 3080, 5047, 5368, 4135, 3639, 3655, 3582, 2420, 79, -418, 436, 318, 216, -145, -517, -1352, -842, -1024, -3176, -2735, -87, 920, -1229, -2084, -1909, -988, -742, -790, -103, 115, 30, -130, -434, 15, 170, -523, -588, 0]","[1013, 10531, -3431, -19106, -8342, 5924, 6047, -4738, -4662, -2543, -140, 2918, 4747, 1396, -355, -576, 1621, 7938, 12758, 12197, 9804, 9651, 9874, 9303, 9387, 10058, 10096, 9971, 11045, 12500, 13105, 12695, 12942, 13104, 13048, 11141, 8875, 7706, 6748, 5964, 4879, 3149, 1691, 1979, 1969, 1131, 607, 428, 993, 986, 538, 22, -170, 177, 728, 501, -312, -51, 548, 0]","[1243, -7269, -1449, 8612, 3952, -5118, -3839, 1653, 3617, 2715, 3370, 1592, -1030, -44, 2781, 2758, 906, 472, -708, -902, 58, 912, -168, -1673, -2662, -3018, -3087, -3193, -3192, -2614, -2040, -1879, -1341, -1370, -1837, -1329, 26, 1312, 1894, 2244, 2497, 2280, 878, 313, 271, 448, 881, 1246, 663, 91, 241, 939, 593, -61, -144, 191, 285, 384, 98, 0]"
