"[5458, -32768, -1946, -412, -3371, -2671, -2244, -1427, -1267, -1560, -1848, -1827, -1785, -1842, -1984, -1837, -1765, -1609, -1627, -1840, -1969, -1920, -1699, -1505, -1519, -1672, -1693, -1632, -1509, -1590, -1662, -1664, -1662, -1579, -1519, -1548, -1601, -1619, -1556, -1576, -1563, -1503, -1576, -1710, -1686, -1642, -1583, -1555, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1500, 0]","[373, 4901, 3103, 2042, 2170, 1524, 1046, 434, 903, 1775, 2057, 1492, 795, 715, 816, 1037, 1125, 1029, 952, 1073, 1335, 1222, 1145, 964, 949, 1324, 1385, 1172, 917, 1016, 1209, 1311, 1192, 1109, 1131, 1249, 1294, 1210, 1175, 1203, 1310, 1101, 1125, 1223, 1282, 1043, 1158, 1134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1161, 0]","[-6748, 10696, 7881, 9056, 8224, 8324, 8366, 8511, 8566, 8521, 8437, 8433, 8469, 8490, 8459, 8402, 8485, 8522, 8531, 8461, 8450, 8464, 8500, 8507, 8507, 8487, 8506, 8509, 8517, 8514, 8490, 8510, 8504, 8506, 8532, 8526, 8511, 8515, 8509, 8496, 8517, 8527, 8483, 8501, 8502, 8508, 8529, 8528, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8541, 0]","[-645, 689, -330, 1466, 304, -1251, -1358, -680, 326, 370, -488, -1248, -1137, -607, -34, 8, -176, -66, 206, 340, 209, 4, -112, -38, 213, 264, -40, -179, -89, 124, 153, 21, -47, -16, 38, 70, -35, -139, -84, -63, -143, -155, -11, -31, -155, -174, -101, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -61, 0]","[4282, -9007, 1903, 1320, 96, -221, -1320, -826, -87, 318, 208, 124, 253, 199, -66, -282, -368, -244, -3, 24, -178, -457, -595, -459, -178, -61, -101, -169, -81, 27, 38, -5, -118, -172, -42, 62, 83, 51, 53, 65, 104, 215, 254, 192, 70, -17, -6, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0]","[-1634, 1540, 570, -611, -630, -544, -220, 231, 327, 82, -276, -441, -403, -270, -177, -48, 69, 91, 57, 7, -60, -88, -40, 36, 81, 47, -13, -37, 61, 166, 178, 126, 76, 88, 127, 106, 102, 86, 62, 72, 74, 60, 52, 81, 89, 88, 70, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0]"
"[-991, 2260, 2565, 1888, 1796, 1788, 1500, 1518, 1698, 1706, 1603, 1697, 1636, 1585, 1504, 1627, 1580, 1520, 1593, 1571, 1596, 1578, 1612, 1610, 1521, 1549, 1646, 1679, 1609, 1558, 1642, 1590, 1564, 1594, 1607, 1595, 1591, 1598, 1644, 1626, 1634, 1572, 1641, 1633, 1652, 1629, 1603, 1630, 1657, 1592, 1621, 1628, 1673, 1644, 1603, 1609, 1653, 1662, 1691, 0]","[32558, 7874, 17, 11499, 7626, 7288, 7386, 7382, 7444, 7389, 7436, 7300, 7163, 7243, 7234, 7357, 7437, 7351, 7223, 7237, 7235, 7276, 7357, 7371, 7389, 7343, 7232, 7206, 7254, 7337, 7374, 7298, 7112, 7061, 7170, 7263, 7275, 7290, 7352, 7226, 7109, 7021, 7005, 7140, 7274, 7355, 7255, 7103, 7124, 7182, 7228, 7187, 7195, 7150, 7162, 7074, 7094, 7097, 7008, 0]","[12650, 4290, 1129, 6928, 4000, 3716, 3879, 3857, 3801, 3797, 3953, 3991, 4118, 4108, 4138, 4036, 3924, 3963, 4126, 4118, 4095, 4066, 3977, 3948, 4056, 4023, 4077, 4097, 4122, 4085, 3975, 4063, 4268, 4350, 4213, 4154, 4157, 4192, 4087, 4173, 4326, 4451, 4361, 4298, 4163, 4082, 4250, 4317, 4309, 4285, 4242, 4264, 4278, 4323, 4346, 4409, 4406, 4348, 4438, 0]","[-4968, -1078, 3089, 1805, -322, -27, -49, -79, -263, -428, -538, -710, -582, -273, -5, 66, -121, -303, -259, -133, 56, 123, 24, -141, -241, -310, -274, -225, -175, -236, -400, -609, -603, -312, -27, -2, -79, -186, -367, -555, -510, -232, 96, 255, 195, -102, -329, -287, -162, -126, -167, -262, -343, -411, -414, -327, -224, -208, -94, 0]","[-1048, -1041, -778, -1122, -850, 110, 408, 364, 487, 431, 121, 155, 219, 339, 175, 125, 249, 280, 143, 124, 23, 36, 49, 86, 77, 26, 69, 134, 107, 68, 146, 227, 163, 42, 54, 74, 82, 45, 81, 142, 159, 91, 38, 56, 12, 72, 127, 75, 91, 89, 84, 87, 83, 114, 121, 71, 71, 80, 61, 0]","[1646, 1529, -2237, 255, 290, -126, -82, 263, 274, 83, 68, 31, -46, -206, -39, 56, 105, 113, 95, 60, 37, 18, 11, 16, 64, 160, 183, 95, 1, 43, 78, 130, 151, 74, 43, 72, 130, 145, 114, 133, 129, 104, 74, 23, 7, 49, 88, 108, 73, 73, 109, 131, 75, 39, 77, 105, 102, 57, 7, 0]"
"[1985, 2039, 453, 1913, 1136, 1315, 1042, 1212, 1370, 1220, 1177, 1291, 1240, 1227, 1273, 1278, 1338, 1271, 1205, 1225, 1346, 1328, 1284, 1242, 1201, 1304, 1270, 1237, 1321, 1264, 1239, 1232, 1206, 1281, 1295, 1295, 1288, 1234, 1206, 1255, 1328, 1239, 1263, 1231, 1242, 1266, 1265, 1288, 1255, 1235, 1239, 1276, 1283, 1248, 1244, 1217, 1283, 1247, 1212, 0]","[32767, 1690, 1263, 17072, 5975, 8344, 7423, 8158, 8019, 8298, 8343, 8153, 7992, 8029, 8073, 8143, 8086, 8055, 8073, 8145, 8109, 8028, 8056, 8099, 8171, 8147, 8117, 8078, 8023, 8057, 8122, 8185, 8199, 8089, 8072, 8091, 8082, 8094, 8110, 8091, 8106, 8121, 8087, 8118, 8164, 8126, 8062, 8060, 8122, 8121, 8084, 8111, 8119, 8113, 8123, 8146, 8113, 8068, 8094, 0]","[-4884, -3007, 462, -1875, -861, -269, 111, -485, -868, -912, -930, -833, -440, -320, -480, -627, -698, -479, -401, -539, -632, -534, -443, -494, -538, -660, -573, -436, -488, -490, -556, -635, -651, -616, -540, -594, -556, -527, -486, -535, -652, -524, -501, -538, -582, -532, -470, -507, -541, -552, -494, -539, -576, -535, -552, -546, -569, -473, -478, 0]","[5412, 4061, 669, -1851, -1961, -1963, -707, 81, 277, 16, -506, -1008, -862, -362, -82, -107, -284, -277, -100, 14, -61, -100, -41, 69, 28, -88, -193, -169, -23, 135, 197, 102, -61, -139, -136, -187, -204, -154, -93, -13, -50, -143, -101, -58, -106, -199, -154, -11, 25, -18, -1, 46, -7, -48, -80, -139, -179, -137, -103, 0]","[832, 1134, 412, -435, 1407, 504, 316, -260, -38, 106, 117, 266, 268, 108, -44, -1, 107, 196, 74, -108, 38, 134, 89, -13, -57, 72, 171, 121, 33, 36, 45, -26, 31, 113, 152, 117, 84, 136, 44, -13, 68, 95, 57, 34, 101, 139, 59, 26, 47, 43, 40, 34, 105, 85, 76, 62, 88, 138, 79, 0]","[-5425, 8793, -2441, -2988, 1959, -166, 117, 98, -30, -9, 174, 244, 151, 69, 84, 106, 68, 32, 33, 105, 93, 11, -55, -39, 30, 50, 62, 57, 5, -50, -86, -49, 41, 108, 71, 22, 13, -10, 28, 47, 20, 23, 33, 21, 61, 84, 56, 7, -14, 19, 23, 28, 19, 11, 4, 10, 29, 10, 21, 0]"
"[2695, 1204, 1671, 1121, 1, -788, -458, -236, -789, -899, -265, -397, -400, -493, -498, -456, -433, -450, -424, -395, -432, -421, -426, -424, -358, -483, -403, -431, -400, -389, -408, -399, -386, -390, -403, -379, -389, -421, -404, -374, -372, -403, -404, -369, -380, -389, -418, -416, -345, -354, -419, -450, -454, -423, -376, -405, -421, -417, -393, 0]","[23296, 17017, 443, 2687, 6463, 6487, 5718, 6438, 6906, 5207, 5628, 5723, 5821, 5789, 5765, 5745, 5759, 5789, 5819, 5802, 5801, 5829, 5813, 5838, 5816, 5786, 5772, 5941, 5873, 5828, 5842, 5842, 5837, 5852, 5878, 5800, 5856, 5869, 5846, 5858, 5811, 5887, 5904, 5868, 5886, 5813, 5802, 5931, 6009, 5894, 5924, 5910, 5885, 5877, 5871, 5872, 5876, 5909, 5857, 0]","[-10036, -12051, -5377, -5024, -3590, -3985, -5204, -6489, -6487, -4982, -5565, -5476, -5460, -5507, -5764, -5552, -5432, -5401, -5539, -5438, -5418, -5465, -5416, -5443, -5705, -5515, -5353, -5184, -5412, -5566, -5466, -5314, -5325, -5445, -5534, -5449, -5339, -5410, -5423, -5491, -5436, -5352, -5369, -5428, -5465, -5429, -5403, -5325, -5332, -5332, -5281, -5401, -5500, -5432, -5307, -5311, -5365, -5461, -5443, 0]","[11363, -5213, -1793, 2094, -213, -1910, -478, 343, 682, -825, 216, 461, 485, 440, 4, -501, -480, -265, -331, -367, -185, -35, 71, 121, -402, -668, -497, 16, 260, 39, -365, -249, 100, 257, -12, -276, -222, -98, -108, -192, -267, -152, -62, -86, -219, -351, -85, 81, -95, -91, 122, 194, -7, -291, -278, -49, 116, 25, -129, 0]","[-16385, 5649, -1138, -365, -294, -1373, -1277, -425, 1483, 700, 289, -88, -206, -206, 85, 286, 162, -17, -69, 17, 146, 171, 43, -88, 114, 282, 277, 49, -25, 60, 175, 92, 26, 31, 133, 159, 100, 19, 28, 92, 190, 183, 70, 17, 68, 135, 141, 44, 84, 55, 43, -66, 20, 150, 123, 34, -51, 63, 155, 0]","[-15677, 8712, 4105, -1325, -1109, -429, -44, -311, 764, 721, -34, -108, -25, 81, 117, 141, 148, 143, 112, 93, -3, -31, 103, 42, 113, 138, 90, 36, -5, 13, 22, 61, 18, -15, 19, 10, -54, -2, 39, 44, -17, -25, 52, 49, 39, 1, -117, -138, -80, -43, -127, -18, 44, 69, 38, -18, -19, 25, 42, 0]"
"[-309, -3001, -3622, 74, -1169, -1538, -1443, -1508, -1484, -1689, -1521, -1487, -1460, -1379, -1381, -1355, -1473, -1514, -1429, -1426, -1466, -1487, -1461, -1446, -1456, -1464, -1433, -1435, -1439, -1478, -1452, -1406, -1442, -1473, -1509, -1488, -1454, -1460, -1467, -1422, -1442, -1433, -1418, -1394, -1368, -1367, -1358, -1419, -1411, -1401, -1405, -1426, -1380, -1366, -1367, -1408, -1408, -1399, -1372, 0]","[-3807, -534, -4024, -209, 374, -1979, -505, -652, -951, -1543, -1125, -1109, -1162, -1163, -1209, -1179, -1181, -1229, -1220, -1251, -1179, -1163, -1187, -1140, -1173, -1199, -1137, -1175, -1145, -1201, -1205, -1206, -1169, -1164, -1159, -1193, -1156, -1124, -1176, -1160, -1161, -1172, -1143, -1136, -1179, -1182, -1131, -1131, -1111, -1112, -1148, -1168, -1196, -1151, -1129, -1139, -1159, -1155, -1085, 0]","[-21436, -8996, -5621, -7211, -8386, -8221, -7595, -7650, -7614, -7529, -7812, -7699, -7686, -7669, -7639, -7639, -7698, -7711, -7671, -7558, -7728, -7730, -7615, -7730, -7711, -7620, -7712, -7634, -7744, -7684, -7630, -7616, -7643, -7703, -7728, -7639, -7632, -7744, -7639, -7669, -7673, -7669, -7719, -7734, -7665, -7619, -7706, -7706, -7706, -7707, -7676, -7725, -7605, -7668, -7730, -7748, -7666, -7605, -7712, 0]","[-21628, 4653, 4237, 194, -2327, 186, 2393, 907, 274, -416, -412, -23, 179, 248, 203, -79, 21, 40, 131, -210, -495, -174, -177, -148, 75, -106, -169, -61, 146, 92, 124, -146, -305, -199, 29, -84, -276, -115, 19, -14, -95, -189, -295, 2, 54, -208, -287, -200, -93, 154, 134, 189, 29, -293, -254, -83, -154, -615, -845, 0]","[-2039, 4042, 2281, -904, -771, -177, -357, -551, 365, 238, 417, 520, 450, 235, 0, -259, -305, -52, 137, -22, -111, 121, 210, 125, 94, 90, 41, -5, 23, 17, 102, -10, -118, -148, -18, 173, 100, 138, 234, 211, 159, 221, 285, 336, 261, 86, -45, -14, 14, 21, 13, 93, 153, 53, -12, 29, 115, 128, 174, 0]","[240, 1349, -559, -1109, 372, -83, -494, -4, 76, -2, -88, -187, -257, -218, -161, -108, 98, 49, 68, 117, 54, 81, 144, 112, 84, -29, -93, -86, 82, 3, 2, 15, 59, 86, 64, 19, -47, 27, 6, 4, -5, 6, -1, 3, 36, 38, 95, 78, -2, 17, -45, -35, -10, 6, 63, 77, 81, 32, -3, 0]"
"[-6398, -699, 2397, 108, 463, -279, -398, -704, -861, -839, -327, -15, -3, -251, -425, -350, -351, -533, -571, -430, -361, -480, -493, -295, -157, -313, -465, -411, -441, -561, -481, -324, -372, -471, -448, -373, -318, -402, -449, -531, -536, -584, -438, -321, -456, -656, -527, -317, -264, -484, -564, -440, -435, -505, -609, -554, -279, -227, -432, 0]","[-29156, -8424, -8557, -7340, -8387, -7291, -7442, -6601, -6097, -6079, -6674, -7155, -7213, -6988, -6885, -6974, -7032, -6716, -6726, -6881, -6670, -6598, -6477, -6797, -7041, -6822, -6772, -6792, -6898, -6739, -6944, -7040, -6898, -6725, -6799, -6927, -6921, -6823, -6802, -6700, -6707, -6718, -6908, -7063, -6882, -6584, -6718, -6962, -7185, -6798, -6732, -6839, -6926, -6928, -6768, -6831, -7063, -7165, -6958, 0]","[18984, 9819, -1567, 4406, 3460, 4340, 4578, 4694, 5176, 5578, 5148, 4792, 4622, 4758, 4879, 4779, 4776, 4983, 5118, 4854, 4899, 5162, 5260, 5139, 4787, 4868, 5113, 4884, 4857, 4952, 4952, 4683, 4948, 5034, 4872, 4920, 4785, 4989, 4990, 5101, 5056, 5026, 4880, 4737, 4840, 5102, 5048, 4800, 4691, 4888, 5080, 4880, 4787, 4806, 4873, 5006, 4705, 4642, 4790, 0]","[-1317, -10282, 1245, -359, 535, 1388, 1987, 2062, 1436, 129, -616, -506, 27, 232, 208, 250, 511, 456, 298, 330, 420, 166, -274, -611, -375, -92, -214, -308, -121, -148, -300, -131, 48, 19, -41, -32, 109, 178, 142, 68, -96, -313, -459, -151, 114, -124, -435, -455, -90, 33, -170, -308, -187, -39, -36, -339, -265, 181, 485, 0]","[-264, -6158, -447, 1673, 603, 680, 777, 601, 101, -563, -623, -234, 143, 250, 216, 178, 222, 87, -11, -85, 45, -88, -31, -74, 91, 283, 207, 146, 214, 110, -63, 74, 164, -16, -65, 24, 200, 254, 296, 226, 58, -110, -54, 127, 223, -19, -154, -86, 265, 293, 78, 11, 82, 134, 3, -229, -189, 127, 335, 0]","[-2187, -2755, -897, -542, 415, 867, 1027, 687, 195, -66, -138, -70, 45, 160, 245, 280, 282, 172, 136, 126, -96, -85, -91, -7, 103, 65, 111, 153, 64, 17, 89, 92, 51, 137, 90, 74, 72, 85, 66, 97, 96, 33, -1, 34, 6, -14, 11, 50, 88, 95, 94, 65, 21, -15, -143, -138, -39, 64, 80, 0]"
"[-1441, -850, 76, -131, -60, 165, 117, -664, -721, -523, -86, 299, -10, -402, -463, 49, 140, -65, -261, -209, 14, -21, 155, -61, -108, 21, -264, -266, 56, 302, 199, 141, 104, -29, 162, 228, -67, -114, 69, 135, 151, -89, 52, 377, 403, 234, 37, 187, 96, -33, -100, 49, 214, 168, 118, 155, 67, 48, 164, 0]","[5612, 4104, -4840, -12949, -14844, -12729, -9730, -9120, -9513, -8782, -7343, -7007, -7614, -7481, -7458, -7476, -8872, -8581, -8457, -8545, -8088, -8116, -8739, -8276, -7645, -8068, -8038, -7788, -8212, -8222, -7894, -8169, -8301, -8178, -8160, -8211, -8143, -8117, -8139, -8151, -8233, -7625, -7794, -8038, -8202, -8505, -8047, -8066, -8152, -7962, -7906, -7992, -8022, -8388, -8533, -8292, -7787, -8046, -8197, 0]","[-2090, -2284, -930, 1567, 3322, 1179, -500, 1201, 1798, 1293, 698, 37, 770, 1239, 1098, 745, 495, 1261, 1485, 1179, 965, 971, 1066, 1411, 1483, 1072, 1432, 1621, 1219, 912, 1001, 1215, 1278, 1223, 1094, 941, 1296, 1465, 1341, 1231, 1129, 1303, 1425, 1125, 1027, 1383, 1546, 1239, 1240, 1562, 1632, 1364, 1089, 1101, 1344, 1238, 1134, 1148, 1066, 0]","[-8685, -9273, 3272, 8697, -560, -3425, 1487, 2436, -1263, -953, 1182, 701, 300, 525, 763, 551, 613, 858, 178, 471, 664, -226, -79, 100, -415, -408, 31, -623, -834, 558, 379, -141, 66, 249, 451, 63, -84, 22, 56, -29, -4, 253, -7, 20, 32, 476, -46, -539, -106, 424, -72, -338, -305, -147, -173, -184, -436, -114, 381, 0]","[-1969, 142, 1296, 2051, -130, -1393, 289, 1512, 391, -373, -651, -161, 523, 237, -135, -174, 480, 984, 98, -89, 219, 378, 579, 437, -75, -64, 444, -77, -464, -144, 288, 259, 20, -90, -14, 249, 486, 181, -99, -125, 68, 210, -74, -193, 127, 272, 2, -56, 229, 321, -145, -377, -213, -30, 21, -83, -110, 20, 147, 0]","[-5457, -370, 7683, 8094, 641, -3102, -552, 709, -1003, -1385, -431, -187, -358, -321, -22, 292, 371, -140, -375, -360, -117, -322, -655, -662, -342, 50, -10, -396, -415, 56, 130, -88, -104, 29, 18, -12, -86, -70, 5, -59, -70, -75, 127, 148, 222, 264, -33, -279, -28, 290, 192, -3, 150, 221, -34, -228, -178, 224, 339, 0]"
"[8592, 7688, -15439, -20233, -12307, -13275, -6993, -8899, -8465, -7383, -7939, -7258, -7302, -7894, -8246, -8035, -7571, -7972, -8157, -8221, -8005, -8125, -8263, -8049, -7639, -7959, -8207, -7986, -7988, -7761, -7667, -7708, -7802, -7750, -7843, -8146, -8048, -7918, -7677, -7523, -7821, -7803, -7800, -7789, -7567, -7842, -8184, -8204, -8146, -8045, -8158, -7971, -7694, -7814, -7917, -7860, -7965, -8206, -8032, 0]","[-7092, -18346, 7989, 5729, 3312, 5825, -2058, 1264, 50, -1950, -453, -232, -1156, -1720, -1287, -764, -925, -777, -344, -761, -615, -1184, -445, 200, -946, -1388, -741, -678, -911, -1622, -1173, -994, -1088, -1282, -794, -1033, -1564, -1261, -836, -871, -1261, -1085, -802, -630, -660, -600, -347, -470, -342, -640, -463, -650, -941, -430, -335, -410, -384, -287, -389, 0]","[1179, 12311, 6924, -9670, -9141, 7399, 1992, 3130, 2502, 3688, 4090, 1578, 719, 1502, 2174, 1135, 548, 1418, 1576, 1480, 976, 1442, 2165, 1789, 1780, 2209, 2133, 1773, 1889, 1441, 1569, 1462, 1520, 1250, 1151, 1356, 1561, 1632, 1201, 1140, 1806, 1668, 1249, 1131, 1261, 1712, 1715, 1198, 954, 870, 965, 1193, 1241, 1395, 1207, 1021, 1144, 1259, 1027, 0]","[5877, 7876, -14646, -6201, 21409, -3865, 1118, 2622, -1516, -434, 332, -531, -1829, -774, -131, -13, 12, -237, -1234, -1266, -424, 20, 278, -154, -917, 380, 887, 481, -561, 43, 934, 275, 258, 936, 1287, 422, 827, 1196, 1124, 743, 721, 1384, 1446, 893, 1037, 1921, 1814, 1157, 864, 1243, 833, 380, 1441, 1363, 133, -75, -18, 169, 520, 0]","[4941, 2516, -17468, -10266, 6857, 3994, 878, 2420, 1547, 1997, -280, -1327, 31, 898, -52, -836, -76, 663, 111, -138, 435, 1323, 1077, 424, 453, 712, 303, 58, -98, -120, 94, -80, -111, 15, 478, 611, 472, 170, 78, 416, 579, 196, 252, 529, 1051, 1210, 553, 139, 258, 577, 631, 490, 502, 445, 42, 46, 315, 265, 262, 0]","[2735, -3881, -14527, -5964, 1297, -1514, -669, -1427, -1266, -1683, -1799, -1661, -1746, -1977, -1978, -1726, -1242, -1264, -1038, -632, 15, -74, -315, 69, 496, 240, 230, 331, 379, 345, 296, 254, 247, 389, 624, 719, 447, 203, 260, 484, 388, 222, 173, 171, 381, 667, 489, 267, 324, 496, 422, 443, 503, 299, 134, 178, 222, 363, 531, 0]"
"[23599, 21399, 3636, -9861, -8179, -132, 9716, 14362, 13922, 11542, 9743, 8031, 7130, 7124, 7662, 7853, 8093, 8657, 9029, 8760, 8654, 8648, 8411, 8206, 8174, 8537, 8848, 8579, 8488, 8414, 8339, 8267, 8337, 8424, 8461, 8311, 8282, 8511, 8624, 8599, 8569, 8452, 8457, 8508, 8488, 8325, 8206, 8239, 8411, 8570, 8514, 8489, 8465, 8464, 8395, 8365, 8543, 8653, 8577, 0]","[6382, 10529, -2184, -13007, -8504, -4596, 4470, 6895, 2942, -2059, -3702, -2369, -128, 787, -393, -671, -51, -756, -619, -444, -494, -890, -1140, -880, -671, -387, -290, -593, -532, -634, -1065, -853, -461, -112, -387, -464, -538, -677, -600, -617, -660, -649, -413, -125, -613, -1172, -688, -151, -14, -703, -344, -31, -217, -1038, -888, -415, -269, -622, -581, 0]","[-547, -5358, 390, 4999, 3614, 3551, 692, -2139, -2290, -895, 7, 1375, 2365, 2749, 1921, 679, -169, -235, 510, 873, 801, 1009, 1226, 1097, 974, 415, -290, -60, 415, 1140, 1367, 1063, 638, 439, 739, 979, 1192, 417, -87, 358, 685, 880, 833, 679, 826, 990, 774, 591, 541, 296, 533, 701, 865, 902, 722, 485, 115, 25, 496, 0]","[2630, -487, -4602, 1425, 149, -1430, 2446, 1471, -600, -41, 1684, 487, -769, -1048, -145, 1165, -462, -662, 663, 808, 103, -157, 401, 1010, 242, -28, 1013, 1500, 604, -421, -100, 532, 546, -134, -246, -178, 409, 475, 575, -209, -465, 239, 1130, 618, -782, -451, 149, -385, -910, -201, 573, -152, -830, -679, 364, 443, -455, -37, 475, 0]","[-1267, 2672, 10895, 4622, 513, -2303, -4679, -4116, -1330, 394, 810, 1116, 1185, 293, -545, -895, -903, -779, -506, 42, 93, 269, 111, -144, -756, -1045, -479, 285, 605, 443, 175, -70, -83, 167, 229, 131, -291, -494, -23, 444, 247, 238, 141, 24, 14, -36, -11, -89, -80, -25, 128, 159, -35, -150, -176, -302, -205, 285, 497, 0]","[944, 9943, 11720, 4464, -3651, -8244, -6680, -2247, 1181, 2136, 1113, -670, -1317, -742, -69, 133, 202, 95, 79, 203, 231, 117, 23, -46, -275, -327, 99, 380, 190, 42, -38, -107, -177, -238, -97, -86, 29, 25, 59, -122, -215, -177, 66, 322, 226, -34, -207, -255, -140, -40, 16, 173, 336, 304, 155, 112, 129, 130, 99, 0]"
"[15412, -5797, -1757, 874, 706, 1062, 1843, 1207, 449, 416, 883, 909, 558, 184, 432, 687, 769, 628, 520, 464, 506, 516, 413, 263, 261, 338, 351, 271, 198, 351, 395, 227, 149, 258, 405, 376, 272, 69, 216, 385, 403, 208, 84, 265, 342, 288, 153, 62, 198, 309, 340, 259, 160, 255, 303, 211, 143, 176, 246, 0]","[-25791, 15524, 5318, 4247, 4918, 2521, 771, 1607, 1904, 1662, 1707, 1718, 2030, 2326, 2163, 1866, 1792, 1966, 2115, 2056, 1885, 1930, 2044, 2054, 1918, 2175, 1998, 1989, 1944, 1894, 1882, 1922, 1971, 1801, 1890, 2008, 2101, 1979, 1917, 1761, 1855, 2107, 2108, 1763, 1586, 1652, 1937, 1949, 1789, 1702, 1795, 1883, 2009, 1911, 1919, 2109, 1942, 1901, 1824, 0]","[10478, 23025, 9416, 4666, 6207, 7130, 6498, 7678, 8822, 8574, 8161, 8173, 8636, 9099, 8782, 8549, 8528, 8717, 8915, 8985, 8802, 8587, 8677, 8688, 8620, 8473, 8293, 8546, 8604, 8425, 8380, 8574, 8672, 8484, 8348, 8422, 8598, 8959, 8640, 8402, 8345, 8566, 8734, 8493, 8374, 8355, 8533, 8710, 8687, 8643, 8535, 8637, 8775, 8585, 8479, 8542, 8638, 8661, 8535, 0]","[2393, 12926, -7220, -1749, 1539, -4462, -3184, -1156, -927, -682, -215, 232, 289, -179, -593, -507, -94, 107, -67, -135, 28, 131, -55, -73, 116, 63, -290, -148, -201, -247, -159, -64, -72, -38, -6, -92, -140, -158, -61, -118, 160, -93, -229, -409, -172, 89, 142, -74, -128, -11, 108, 115, 114, -44, 274, -54, -101, 6, 67, 0]","[872, 8031, -6235, -4804, -513, -1199, -38, 1437, 1352, 530, 527, 1350, 1853, 1272, 673, 701, 892, 854, 668, 308, 202, 286, 391, 145, -82, -49, 52, 203, 71, 79, 280, 324, 97, -92, 101, 425, 562, 263, -71, -58, 274, 331, 30, -121, 43, 326, 418, 240, 87, 24, 112, 200, 52, -103, -10, 102, 71, -59, -125, 0]","[-4802, -4754, -2999, -1127, 1604, 1325, 493, 276, 238, 199, 109, -137, -193, -176, -77, 12, 91, 100, 120, 140, 172, 85, 27, 157, 282, 237, 218, 205, 220, 173, 103, 182, 239, 241, 69, 39, 129, 306, 322, 208, 112, 143, 309, 338, 222, 114, 83, 145, 140, 30, -74, -72, -23, -24, 29, -42, 33, 60, 16, 0]"
