"[3157, 32767, -16776, 11382, -3172, 10934, 2584, 11430, 12732, 12786, 19293, 19392, 16710, 13917, 19020, 17749, 27774, 16725, 9389, 3633, -1785, 1710, 5758, 4726, 2052, 2304, 5349, 5706, -415, -4652, 32767, -4434, -5633, 5231, 13281, 11262, 25148, 21341, 19095, 16735]","[5114, 32242, -8583, 9605, 8075, 3861, 4773, 5521, 5054, 5892, 3775, -2774, -12290, -18147, -17613, 1461, -756, 7635, 15377, 13977, 4552, 5987, 8803, 10218, 11878, 18821, 22340, 17390, 15856, 12121, 22624, 6809, -9658, 15297, 14890, 7409, 5788, 381, -5743, -19001]","[-32756, -18254, -3253, -4422, -4964, -5225, -7438, -9168, -7888, -7609, -5856, -6549, -5787, -4961, 4256, 1154, -5560, 1504, -4, 3752, 6917, 3991, 3365, 2534, 1644, -3834, -3317, -2026, -1090, -21920, 8439, -3857, 264, -13065, -9352, -5515, -6393, -6406, -8444, -7773]","[14358, -22473, -9866, 13051, 13951, -10641, -1653, 1008, 1370, 563, -6781, -14972, -26696, -24171, -14665, 5102, -5440, -10581, -8931, -12388, 980, 14047, 14178, 4753, 1890, -1649, -6498, 421, 10982, 15218, -1961, -7542, -4213, 19046, -11820, 1500, -5448, -15038, -21298, -31601]","[5444, -3578, -1255, 151, 2339, -4044, -5504, -3614, -2731, -3621, -4939, -5132, -5444, -4490, -1343, -9305, -8326, -8682, -8333, -6954, -8534, -6928, -3074, 1397, 2131, 1247, 2385, 4806, 6602, 6634, -19716, -6473, -3629, -2098, -3247, -6159, -3396, -6013, -1571, 1302]","[-2356, -9504, -17064, -8578, -749, -4924, -2113, -237, -1547, -487, -83, 395, 127, -4639, -11852, -17386, -14528, -9058, 1053, 10911, 18908, 27128, 32179, 32767, 32767, 28152, 18553, 5132, -6627, -9706, -19240, -14114, -17804, -10066, -4579, -4418, -2435, -2686, -1401, -2094]"
"[549, 32767, -8152, -310, 4471, 18693, 4368, 17180, 19348, 15939, 17242, 13093, 9221, 10650, 10532, 13623, 22934, 20213, 9084, 5911, 1493, -1234, -311, 1179, 5252, 8852, 9513, 5379, 2663, -972, 4675, 20717, -9984, -579, 8688, 11375, 13483, 23258, 24135, 18336]","[3758, 28326, 13536, 10069, 2619, 23687, 6677, 3868, 1362, 840, -5579, -20123, -19792, -18812, 67, 3339, -3851, -1780, 6755, 15006, 12251, 7573, 2782, 2051, 4226, 12935, 27168, 17822, 13074, 16088, -1000, -4733, 24751, 6864, 4240, 18872, 11840, 8693, 1545, -3755]","[-32768, 16007, -8159, -2878, -3074, -12682, -11684, -4855, -5705, -5956, -5937, -992, -1808, -4620, 8459, -2021, -11648, -4789, -6556, -10168, -4094, -390, 2030, 2867, -4862, -5153, -12236, -9926, -6426, -5738, -32768, -8822, -11044, 1867, -2384, -4147, -9884, -5445, -3035, -2098]","[14595, 1635, 22285, -2154, -4722, -4179, -860, -8350, -3132, -7122, -23740, -24158, -8445, -3826, -237, 11942, -14016, -5729, 2415, 61, -13462, -10516, -4463, 6871, 22050, 13613, 5759, -9463, 423, 7500, 5612, -7724, -9698, -2308, -3864, -2503, 4992, -2769, -8578, -14771]","[3608, -30742, -377, -15329, -4248, -13176, -4482, -2616, -2607, -2655, -2724, 100, 2264, 4310, -2426, -13528, -1825, -989, 2254, 5811, 9327, 7865, 4643, 1393, 1721, 6225, 8270, 4733, 1199, -959, 70, -19867, -8208, -6436, -5323, -5359, -3810, -4484, -4649, -1241]","[-9139, -23959, -16259, -19645, -7187, -4923, -3936, 351, -2250, 193, 757, -2052, -7219, -8886, -14410, -15720, -12863, -6789, -3088, 4234, 14895, 22842, 26968, 29505, 30560, 27670, 23431, 10590, -3305, -11652, -10920, -23292, -21687, -12781, -12380, -7398, -3837, -4000, -4743, -3407]"
"[2085, 32767, -11171, 257, 7968, 13430, 10773, 18037, 18520, 14908, 16593, 9988, 10193, 15045, 12642, 14559, 21447, 12440, 6969, -850, -2085, 1410, 4708, 8574, 9847, 11474, 10959, 6698, -2110, 10507, 31593, -19284, 575, 5166, 12871, 9038, 15924, 14824, 13258, 12826]","[3180, 5890, 15268, 5652, 8712, 10897, 4059, 4289, 2900, -554, -7572, -18856, -16552, -15314, -718, 0, 3699, 8410, 11308, 9301, 5361, 3848, 3137, 6151, 10259, 21525, 13946, 15673, 19493, -16219, 16667, 6060, 10404, 7596, 14652, 4883, 5694, 3583, -1280, -6355]","[-32768, 442, -7095, -10521, -13481, -9567, -6413, -5490, -4729, -5572, -5062, -3066, -4401, -3908, 2747, -10533, -1696, -6454, -3294, -1549, 720, 2966, 2385, -3900, -2824, -6716, -1893, -2013, -4793, -32768, -9219, 11505, 5470, -6081, -4146, -7801, -7521, -6636, -6873, -6154]","[2452, -25051, 3721, -2054, 3971, -17013, 4358, 483, -11897, -15052, -23157, -16631, -10499, 1419, 8552, -3861, -7547, -2099, -3038, 1356, 3571, 7385, 8344, 12042, 1272, -6067, -10182, 675, 3347, 9777, 24614, -15011, 1083, 6044, -19163, -3995, -7426, -10590, -9736, -14182]","[3276, -20977, -48, -7163, -1974, -10280, -3869, -1218, -5946, -2121, -1537, 445, 113, 1598, -10503, -9479, -3486, -1756, -1194, 935, 1163, 91, -280, 1462, 6675, 8249, 5239, 3441, 482, 3655, -11268, -8996, -5403, -1673, -1741, -5304, -2805, -2462, -1739, -1671]","[-8800, -20485, -13383, -16166, -6903, -4856, -4332, -2494, -3005, -1771, -858, -4850, -9271, -10717, -16450, -15285, -9595, -3477, 2976, 12865, 21233, 27437, 30793, 32767, 32767, 31816, 17932, 3153, -6131, -9677, -26425, -19989, -11752, -6617, -6345, -4489, -1563, -2702, -1568, -2547]"
"[14379, 5102, 1082, -553, 12865, 20528, -17892, 2743, 9273, 11586, 10049, 21013, 23156, 18008, 19037, 11117, 9405, 12604, 8253, 13224, 21212, 12362, 8078, 3017, -776, 647, 3909, 6537, 7960, 9148, 5441, 2590, 427, 1016, 32767, -19423, -7994, 6929, 15778, 6444]","[25859, 18470, 20157, 17417, -15303, -6632, 30014, 10965, 6166, 13068, 10244, 7928, 738, -534, -11839, -16935, -18013, -12664, -430, -2100, 1819, 3724, 6890, 11464, 8830, 3931, 4409, 6272, 9986, 16384, 18203, 18359, 15354, 6267, -8916, 32767, 11196, 10175, 6038, 12807]","[-11771, -9810, -8075, -4132, -32768, -17645, -3495, -928, -4272, -3845, -4838, -4749, -2890, -2164, -2747, 337, -3789, -8207, 4404, -13752, -3346, -10820, -5906, -7773, -5190, -1554, -2208, -5672, -6851, -9548, -9217, -7220, -3257, -5285, 30688, -7776, -9435, -4207, -8088, -6416]","[6575, -1326, 1823, -2729, 239, 30521, -12479, -15511, -5554, -868, 2748, -5473, -8955, -10525, -17795, -12942, -881, 7143, 8330, 8188, 4055, 3538, 3050, 6668, -2104, -1027, 5338, 8535, 5709, 4631, 1376, -1793, -3128, -2451, -32768, 9389, -9474, -1984, 5250, 68]","[9182, 4036, -1240, -3611, 701, -16083, -6428, -5416, -4198, -3339, -857, -2508, -2885, -967, 72, 2636, 3173, 4105, -3079, -4753, 1190, 3324, 4607, 7991, 10193, 9164, 7669, 7185, 8609, 5297, 1604, -1876, -3951, -2752, -2658, -17370, -3397, -3802, -3836, -2145]","[24659, 9530, -4980, -12369, -11707, -26682, -19677, -12355, -11963, -7841, -3303, -2973, -4509, -2937, -3081, -7047, -11022, -11275, -12147, -14558, -10806, -2962, 1485, 10201, 18864, 24501, 27050, 29652, 29958, 24463, 13847, 892, -8063, -10195, -23277, -19284, -12413, -10716, -10029, -4525]"
"[4648, 32767, -16881, 2586, 3408, 14918, 13229, 16750, 20217, 16760, 17097, 8317, 10248, 14069, 12563, 13899, 20983, 10446, 5341, -397, -830, 832, 4198, 7426, 10856, 14447, 12299, 4705, -863, -630, 32767, -1583, 5523, 3340, 14746, 6999, 12001, 19563, 17912, 14268]","[701, 3252, 2086, 10515, 10897, 8341, 6162, 3992, 3788, -2798, -11053, -17663, -13666, -10098, 1483, -2100, -1515, 5810, 11167, 10840, 8643, 4913, 3247, 4295, 8318, 14911, 17000, 13476, 22846, 17226, -26047, 16673, 13509, 1660, 9059, 12484, 5626, 8121, 1169, 264]","[-32768, -6310, 4371, 5658, -9605, -16078, -5715, -6189, -4578, -4793, -3645, -2634, -3348, 2286, 1579, -8343, -834, -7210, -4193, -3387, -2328, 723, 1571, -25, -5087, -5659, -7737, -4515, -6946, -6599, 32767, -15703, -3941, -14131, -10623, -5726, -10301, -2294, -706, -3317]","[3509, -20587, 3598, 17822, 2388, -16445, -479, 2153, -12164, -13963, -23407, -17415, -11106, -4796, 2320, -6516, 1403, 6448, 1950, 3509, -2807, -3731, -865, 6126, 10099, 3571, -388, 5687, 8338, -3382, -32768, 24697, 10067, -7669, -1533, -6582, 915, -2936, -6026, -11657]","[3019, -15250, -5641, -13985, -6811, -5254, -1484, 786, -6373, -539, -580, 321, -837, 1181, -8740, -8302, -2138, 527, 2423, 4466, 4744, 4084, 3302, 2369, 5531, 7175, 5511, 2354, -1549, -4423, -4969, -9420, -13623, -3245, -5895, -3088, -2347, -1050, -2349, -2649]","[-7307, -18980, -14614, -12397, -4081, -5871, -3588, -2658, -2707, -1382, -764, -5428, -9324, -11216, -15958, -14941, -10767, -4299, 2178, 11756, 20360, 26430, 29893, 32441, 32767, 31827, 21280, 4775, -9312, -11963, -14282, -22427, -7876, -11610, -9954, -3105, -3330, -2319, -3363, -2586]"
"[10029, 19400, 4434, 2726, 9465, 10539, 7551, 9644, 9613, 9841, 9242, 8927, 8261, 7654, 8346, 9346, 10110, 9831, 10913, 18996, 18020, 8840, 7195, 6509, 3191, 1623, 2449, 4055, 5677, 8622, 9949, 9702, 9988, 12822, 13737, 9318, 8926, 20972, 6425, 4321]","[-3138, -3710, 24246, 4231, 7834, 7074, 4631, 2017, 3114, 812, -1012, -1208, -32, -955, -1603, -611, 496, 1786, 2198, -685, -3568, -2819, 6322, 8573, 4191, 990, 1143, 172, -465, 1876, 6149, 7439, 4748, 5838, 7776, 7200, 8287, -4021, 1899, 12282]","[-29945, -10089, -14393, -8417, -8019, -6834, -4252, -5807, -5727, -3025, -2950, -4028, -3562, -1932, -1978, -1889, -1935, -1524, -2306, -5251, -4994, -3927, -5387, -5133, -1281, -650, 258, -275, -73, -1382, -2513, -938, -2790, -2412, 1324, 1662, -3070, 6901, 1098, -6670]","[9242, -6867, 10177, -3626, -4580, -2687, -4490, -211, -2503, -5504, -4417, -3469, -4671, -6109, -4572, -3970, -5060, -6864, -9940, -15002, -16675, 3575, 2474, -1280, -11866, -11914, -6455, -587, 3121, 7128, 2295, -6614, -9970, -7792, -6051, 348, 6710, -2631, 8317, 7879]","[786, -7577, -3396, -3332, -1432, -1753, -205, 102, -18, 485, 444, 315, -272, -1440, -1731, -2395, -3526, -4655, -5542, -5430, -2837, -2155, -3208, -4390, -1834, -2133, -2272, -3428, -3614, -2453, 66, 466, -1383, -772, 394, 576, -687, 7, -693, -2890]","[-8323, -13866, -13600, -11273, -7117, -4117, -979, -879, 612, 613, -609, -1293, -2075, -3242, -4948, -6594, -7921, -8515, -8651, -8931, -8457, -8006, -5675, -2962, 4948, 10972, 13707, 15765, 17968, 19653, 21830, 24072, 23324, 20860, 12446, 2255, -6645, -12275, -8875, -7308]"
"[11506, 16992, 3935, 325, 8860, 12186, 10354, 14720, 14791, 12359, 11509, 11106, 8672, 7678, 9856, 10145, 17507, 14712, 8046, 4494, 2730, 1879, 3247, 5816, 7878, 10684, 10860, 10099, 11636, 3702, 3982, 32767, 1954, 2010, 6901, 11213, 5337, 11814, 13912, 10717]","[-4435, 4158, 18065, 11272, 7275, 11309, 5871, 4996, 362, 27, -726, -5194, -9982, -8693, -2008, -2232, -4190, 2032, 6160, 7807, 6200, 2958, 1998, 3462, 4239, 7014, 8026, 9569, 8934, 13739, 8224, 80, 30434, 1180, 8186, 12485, 503, 4910, 2342, 381]","[-27177, -8365, -6899, -3452, -5478, -7587, -6522, -4163, -3983, -3890, -3909, -2690, -2355, -2322, -2268, -4263, -4818, -6855, -3429, -3474, -2360, -306, 493, 910, -873, -3843, -3118, -5926, 1301, 2502, -19581, 5456, -13711, -12847, -8945, -7539, -7837, -6296, -4952, -6041]","[6838, 16632, -29, 118, -1612, -2128, 284, -3292, -6222, -7188, -10183, -12813, -11707, -7882, -6640, -4986, 3106, 6779, -629, 4288, 42, 1475, 3546, 6582, 5769, 2242, -7748, -12020, -11321, -1534, 6783, -22659, 10666, -10234, -5260, -4038, -5330, -3484, -4922, -1727]","[87, -12456, -8001, -7988, -4510, -3112, -1116, -1472, -2015, -1658, -1451, -1180, -1844, -3522, -3685, -4998, -3053, -4138, -1890, 375, 618, 1919, 628, 609, 1868, 4878, 4359, 1976, 914, 411, -1054, -11480, -5432, -4652, -2737, -5713, -2962, -1674, 274, -197]","[-7304, -21345, -16954, -12500, -8141, -4813, -3349, -1992, -2716, -2742, -2725, -4076, -7791, -11315, -12099, -13889, -13865, -10653, -6977, 1621, 9760, 14701, 19857, 22871, 25991, 29567, 30890, 27817, 17129, 2006, -7084, -15466, -13498, -13777, -7309, -4155, -2471, 185, -628, -728]"
"[8239, 24030, -5812, 7099, 10207, 7752, 8147, 9039, 12530, 11931, 12233, 11577, 10466, 10291, 11175, 11758, 12754, 19381, 13035, 9400, 3995, 2011, 2820, 4376, 7212, 7538, 6451, 7434, 10455, 7124, 2196, 12824, 20782, -4989, 4415, 9696, 9181, 8622, 11370, 15871]","[-2566, 1741, 21211, 4021, 6745, 8939, 614, 2694, 1238, -691, 559, -2151, -6693, -8247, -5561, -5822, -2747, -5377, 7329, 4621, 5840, 5868, 2817, 1499, 3881, 7183, 9619, 12381, 12852, 18635, 14909, -12482, 1470, 18295, 1852, 4552, 12728, 3474, 6487, 4825]","[-27956, 3662, -234, -928, -6282, -8778, -9051, -8016, -2972, -3696, -3995, -3034, -2347, -348, 1407, -1550, -3191, -4517, -7910, 178, -3113, -2771, -990, -685, -1038, -2618, -2026, -3607, -3389, -2127, -172, -32768, -4195, -902, -1946, -5583, -6072, -5819, -8602, -3304]","[15706, 5780, 6919, -2242, -690, -4497, -1111, -1690, -5444, -4694, -6719, -10222, -11696, -10260, -8970, -9848, -8210, 6456, 5007, -10127, -4229, -5088, -3554, 67, 3265, -357, -6686, -4715, 1440, 2924, -333, 13459, 15145, 2076, -7200, 806, -1310, -3892, -654, -4772]","[1243, -946, -3182, -4984, -1341, -1803, -114, 591, 884, 245, -832, -1693, -2273, -3261, -3939, -4356, -4461, -3126, -8261, -2660, -1816, -337, 1341, 884, 1705, 2424, 3354, 1426, 944, 1502, 1709, 3867, -5164, -1209, -4956, -1814, -2215, -115, 1240, 734]","[-7608, -14055, -10891, -8681, -5718, -2297, -1196, -361, 160, -1124, -1452, -2192, -4592, -7621, -9643, -12059, -12931, -12747, -8531, -3362, 4764, 12690, 17660, 21355, 23464, 25696, 27136, 23979, 15739, 4873, -4390, -10467, -14139, -9688, -10546, -8940, -4448, -3426, -1818, -1087]"
"[7130, 23233, -2135, 5469, 7104, 11127, 7711, 10829, 12878, 12438, 11701, 11399, 11733, 11364, 12090, 12986, 14256, 18550, 5876, 6113, 2422, 1091, 3464, 6516, 9898, 11561, 9972, 13790, 11725, 3521, 1015, 20028, 11590, 1960, 5780, 13075, 6212, 8901, 10546, 13729]","[-4690, -2039, 25170, 4323, 7974, 7003, 5794, 2980, 3035, 52, 691, -1358, -7584, -8486, -5370, -5714, -2690, -1262, 6418, 6458, 6713, 3678, 939, 1955, 4444, 9511, 7906, 8388, 11916, 13009, 13565, -21613, 8315, 12614, 4303, 6852, 10079, -585, 4694, 1464]","[-32324, -6002, -16098, 3495, -3551, -6428, -6691, -7358, -4539, -2449, -1443, -1457, -2208, -1553, -1310, -3483, -6487, 2030, -8954, -1589, -2112, -2012, 879, 508, 57, -2619, -2667, -3878, 776, 2095, 1858, -19952, -4131, 2402, -4532, -6602, -6543, -8546, -6178, -2550]","[6212, 3760, 11047, -6456, -875, 2020, -3024, -1742, -2606, -4351, -6215, -9265, -10239, -8311, -9890, -10409, -6091, 8273, 9703, -9008, -2683, -3531, -987, 1307, 3796, -1936, -10603, -5853, -1300, 3111, 5888, 10313, 19719, -2132, -3031, -3446, -7337, -2007, -2242, -6245]","[1058, -7422, -2010, -5340, -3785, -5018, -1543, -150, -139, -117, -978, -2274, -2751, -4054, -4991, -5334, -5323, -2164, -5695, -4066, -617, -1463, -1053, -2489, -881, 2178, 1085, 1092, 1326, 1103, -148, 4971, -1752, -4386, -4889, -2810, -2259, -1516, 61, 466]","[-9010, -17595, -12106, -11443, -8384, -5996, -2001, -1985, -1288, -1820, -2961, -3742, -6818, -10210, -11981, -14623, -14668, -12051, -6559, 952, 10576, 17270, 21570, 24758, 27202, 30593, 30559, 24926, 13537, -267, -8374, -14811, -13283, -10688, -9548, -6842, -1531, -2367, -877, -824]"
"[10153, 19861, -1128, 4746, 8703, 10333, 7593, 9940, 11459, 13533, 12899, 13192, 12719, 13775, 11702, 11813, 13367, 19784, 10808, 8827, 5018, 2989, 2413, 2394, 3979, 7602, 10511, 14523, 9458, 1085, 411, 28200, 1960, 6955, 7632, 9721, 8718, 9638, 10767, 11837]","[-1559, -4577, 14016, 808, 9348, 8298, 2695, 3425, 4441, 361, -51, 384, -3277, -10625, -11754, -6817, -2664, -3725, 4505, 2994, 3404, 4007, 4262, 3085, 4916, 5584, 6515, 9277, 14473, 19274, 14507, -7610, 9106, 16565, 9299, 3227, 6000, 4711, 3468, 2028]","[-31417, -2816, -14335, -1781, -6602, -6317, -4897, -7595, -6719, -3259, -2374, -1500, -942, 310, 2439, 163, -4524, -1327, -8179, -2795, -5475, -4831, -3078, -3119, -2650, -3525, -4308, -6658, -5639, -8160, -7840, 19643, -2547, 572, -6454, -5877, -6786, -5371, -4733, -3455]","[5194, -4980, 15074, 2685, 429, -3117, -5338, -254, -4356, -6632, -4447, -6154, -9462, -10122, -8707, -4851, -568, 8809, 8001, -5974, 17, -2720, -1481, -1569, -1889, -3826, -1273, 6816, 11853, 8499, 2659, -30077, 17019, 5612, -3136, -4263, -1238, -339, -1897, -3450]","[739, -5398, -4257, -3558, -3079, -3590, -1742, -1205, -1281, 178, 292, -138, -792, -1507, -2334, -1163, -1922, 817, -4550, 62, 2458, 4869, 7279, 7099, 5685, 5339, 3644, 2822, 2287, -258, -3894, -3760, -9587, -6056, -5571, -5599, -2206, -1182, 41, 382]","[-7231, -13507, -11481, -10395, -8343, -5024, -2402, -2292, -605, -1110, -2579, -2997, -4678, -8079, -11784, -13315, -14318, -14409, -10839, -4239, 3771, 11306, 16985, 22260, 26230, 29428, 28771, 22942, 11619, -1186, -7464, -16226, -14273, -11166, -10100, -7157, -3340, -3024, -1727, -990]"
