"[16645, 13667, 14978, 2579, 7383, 13344, 8692, 8879, 8979, 7602, 7861, 8368, 8549, 9006, 8882, 9063, 8972, 8719, 8410, 8496, 9524, 9431, 10231, 12415, 15757, 17904, 15312, 11757, 7850, 3354, 3495, 2209, 2136, 3193, 4676, 6135, 7482, 8873, 10707, 11396]","[-18120, 178, 18554, 10057, -365, -381, 3771, 1539, -575, -77, 155, 245, -670, -350, 1051, 1532, 1777, 1849, 1781, 1083, 851, 731, 1423, 983, -194, -1933, -135, 1360, 1255, 8719, 3457, -287, -97, 1568, 2121, 1783, 2553, 3469, 3899, 4592]","[2489, -5158, -483, -2192, -5250, -3086, -3907, -2254, -2430, -3346, -3623, -2861, -2418, -2616, -2858, -2244, -2614, -3306, -2842, -2645, -2262, -2420, -2314, -2709, -2668, -2608, -4492, -3703, -3494, -2116, -2382, 257, 812, -267, -771, -724, -1199, -2267, -2677, -3134]","[-13004, 15398, 19519, -6216, -10630, 87, 1386, -1721, -3149, -2385, -2999, -3833, -4089, -2432, -1246, -1344, -678, -1620, -2781, -3437, -3309, -2697, -3289, -5056, -8040, -10680, -9479, -5713, -9222, -5140, -6698, -8691, 328, 4014, 5920, 8113, 9391, 10196, 6076, 1705]","[4451, -4151, -7864, -494, -1581, -1541, -838, -353, -435, -190, -313, -494, -599, -482, -457, -470, -549, -712, -998, -1219, -1142, -1191, -1480, -1926, -2344, -2567, -2347, -1098, -1744, -2050, -3458, -2588, -2756, -3582, -3804, -3036, -1574, -461, 1607, 2887]","[-5502, -8463, -14405, -8111, -4942, -3463, -2721, -1867, -1744, -1776, -2098, -2350, -3095, -3757, -3997, -4140, -4104, -4068, -4160, -4716, -5516, -6515, -7207, -7971, -8523, -8915, -8450, -7245, -5495, -2500, 1039, 5856, 8781, 10552, 11886, 14065, 15917, 17328, 18394, 19170]"
"[9239, 17919, 14344, 4403, 9916, 9931, 8568, 8252, 8505, 7245, 8186, 8212, 8917, 8906, 9016, 8620, 8291, 8739, 9425, 10217, 10326, 10847, 13110, 16219, 17698, 17207, 12585, 7823, 3607, 3995, 2921, 1483, 2814, 4734, 5906, 6475, 8470, 10252, 12902, 13077]","[-20138, 7381, 12665, 9113, -2646, -662, 8048, 1795, -4368, -2884, -406, -3055, -1794, 380, 1155, 2376, 2739, 2131, 750, 966, 655, 174, -26, -1552, -3740, -2743, 872, 1154, 8975, 5864, 1731, -490, 1989, 3390, 2996, 2163, 2883, 3689, 5963, 5337]","[-7457, -11331, 2525, 898, -2550, -7651, -5274, -4528, -3231, -4046, -3883, -3216, -2390, -2041, -2352, -2800, -3462, -4044, -3362, -2394, -2158, -2330, -3418, -2592, -3051, -4369, -4025, -2820, -2374, -4349, -762, 51, -1086, -1264, -922, -879, -1547, -2356, -3978, -4456]","[6015, 24268, -14296, -11636, -880, 2731, -2232, -9758, -7511, -582, -3770, -4734, -1923, -1665, -1983, -1712, -2182, -3301, -4061, -3595, -4247, -4472, -5566, -6488, -9691, -5589, 1776, -1614, 1098, -529, -10630, -1691, 3293, 3119, 1911, 1459, 2547, 3340, 627, -3303]","[2620, 1117, -2065, -3963, -1284, 262, 299, 431, 785, 1130, 602, 541, 561, 144, -237, -370, -634, -793, -626, -742, -1063, -1466, -1682, -2305, -2532, -811, 456, 162, -19, -1538, 705, 386, -478, -514, 44, 622, 935, 1299, 2137, 2129]","[-2904, -6951, -7158, -5880, -3872, -2935, -452, 438, 64, -1011, -1741, -3363, -4226, -5015, -5346, -5114, -4972, -4700, -5220, -6024, -7040, -8261, -9385, -10488, -10716, -11038, -9752, -6691, -2242, 882, 6859, 10664, 13499, 15165, 17885, 20341, 21598, 22621, 24090, 22767]"
"[18816, 15434, 17782, -1016, 6456, 14480, 9212, 7445, 9322, 8351, 8029, 8799, 8805, 8881, 8944, 9091, 9047, 9259, 9362, 9832, 10115, 10182, 11354, 14149, 16735, 17661, 15724, 10594, 5768, 2620, 3714, 1796, 659, 1969, 4299, 4817, 6200, 7982, 9340, 14278]","[-23427, -5377, 18176, 17620, 5703, -2100, -2497, 2752, -222, -1068, -1824, 263, -712, -843, -8, 802, 1370, 895, 479, 399, -449, 365, 1024, -150, -2131, -4042, -1496, 1504, 3286, 10019, 4000, 218, 1274, 2875, 2851, 2349, 2755, 3290, 3418, 6450]","[109, -5611, -5260, -5970, -3330, -3724, -3929, -2369, -2744, -2636, -2195, -2346, -2281, -2104, -2226, -2587, -2513, -2639, -2886, -1968, -616, -1966, -2730, -3038, -1949, -3731, -4385, -3313, -4292, -3216, -3417, -782, -916, -1916, -962, -1637, -1353, -2153, -2617, -4357]","[-21004, 24639, 32767, 3389, -16414, -8036, 1975, 262, -3673, -4024, -1905, -1891, -2943, -2253, -1244, -1271, -1848, -2399, -2962, -3794, -3246, -1566, -2145, -5150, -6802, -9194, -1410, 5507, 2611, 3411, -841, -5143, 1101, 1973, 1548, 4369, 4421, 5313, 5050, 1609]","[6069, -4913, -14214, -1731, -5353, -2499, -494, -364, -545, -539, -202, -453, -531, -657, -643, -615, -653, -692, -826, -958, -689, -804, -1223, -1664, -2241, -1341, 1006, 1801, 165, -15, -355, 1974, 1217, 204, 697, 989, 1246, 1967, 2376, 4086]","[-3202, -9819, -14710, -10257, -2747, -2520, -2010, -1174, -1411, -1326, -1977, -2416, -2941, -3531, -4154, -4497, -4660, -4910, -5331, -6128, -7381, -8639, -9675, -10562, -11399, -11427, -11519, -10117, -7159, -3036, 978, 6644, 9582, 11690, 14057, 16447, 18812, 20259, 21905, 23640]"
"[14048, 12877, 15659, 2224, 6771, 13065, 8856, 8348, 9293, 8405, 8253, 8795, 8386, 8398, 8546, 8942, 8567, 8486, 8476, 8753, 8910, 8988, 10121, 11702, 13735, 14977, 16812, 16833, 11639, 7451, 3846, 1478, 2776, 2548, 3568, 5627, 6565, 7224, 9776, 11396]","[-20164, -2808, 12505, 16166, 2808, -2926, 6, 2042, 496, -93, -744, 10, -824, -942, -278, 350, 642, 1161, 1725, 1177, 265, 260, 829, 1168, 1326, 1255, -873, -1006, 2025, 3733, 5022, 5350, -1504, -2687, 1844, 3697, 1203, 165, 2613, 5580]","[499, -3938, -4016, -5390, -4171, -3859, -3255, -2647, -3388, -3313, -2715, -2686, -3020, -2739, -2594, -2466, -2457, -2571, -2667, -2645, -3132, -3421, -2522, -2058, -2487, -2196, -1997, -2764, -3203, -763, -2656, -2520, -131, 2595, 1006, 908, 590, -35, -1630, -1868]","[-15878, 18294, 28228, 4330, -15333, -8957, 1864, 394, -2439, -2875, -1797, -2162, -2374, -1693, -1180, -1441, -1533, -910, -1717, -2935, -3010, -3134, -3608, -4527, -5195, -8337, -9854, -9013, -5775, -5915, -5971, -9584, -13898, -4579, 2629, 3080, 4083, 7881, 8653, 3587]","[5812, -4798, -8616, -1083, -3503, -1805, -789, -560, -418, -297, -100, -302, -232, -270, -405, -507, -647, -882, -1242, -1469, -1568, -1670, -1685, -2129, -2450, -3415, -3229, -2608, -2529, -2933, -4510, -5043, -5377, -3992, -5915, -5557, -4086, -2867, -1361, 1789]","[-4377, -8326, -13171, -8327, -2324, -2711, -2221, -1242, -1470, -752, -1224, -1438, -1973, -2551, -3178, -3529, -3862, -3995, -4001, -4274, -4897, -5891, -6994, -7998, -9122, -9590, -10042, -9002, -7385, -5311, -2716, 1334, 7165, 9833, 12217, 13999, 16476, 18814, 19914, 21139]"
"[15980, 18501, 16957, -23, 7526, 13529, 8111, 7809, 9546, 8540, 8109, 8574, 8672, 8726, 8678, 8890, 9456, 8963, 9170, 9889, 10017, 10425, 11496, 15025, 16479, 17277, 14716, 9426, 4936, 1975, 3272, 1954, 1284, 2922, 4466, 4986, 5651, 7587, 10248, 13363]","[-23829, -355, 14068, 15782, 561, -2431, 1816, 3813, -617, -1019, 471, 963, -240, -618, -1062, -411, 1438, 1053, 776, 611, 16, 692, 1364, 242, -608, -1965, 407, 2068, 3140, 9858, 5829, 622, -906, 1843, 3223, 2287, 1893, 3056, 4369, 5615]","[-4121, -704, 2348, -4994, -4365, -5295, -5160, -3052, -2413, -2257, -2504, -3043, -2839, -2416, -2171, -2804, -2468, -2601, -2917, -2333, -1341, -1785, -2366, -2794, -2340, -3206, -3582, -2514, -4954, -2215, -2496, -747, 161, -861, -805, -1170, -1545, -2195, -3216, -4973]","[-13489, 17659, 16823, 3765, -15994, -4176, 1856, -1860, -4152, -1526, 170, -2213, -3267, -2377, -1624, -860, -942, -2171, -2975, -3981, -3960, -3100, -4372, -6865, -8642, -10668, -3005, 1981, -1748, -2171, -6197, -9644, -1963, 3340, 4061, 5570, 6446, 6295, 5258, 593]","[4714, -2980, -6934, -1504, -3954, -1106, -116, -114, 76, 18, 47, -219, -242, -309, -426, -375, -494, -589, -833, -864, -805, -975, -1533, -1777, -2651, -1599, 303, 499, -1338, -1121, -1772, -374, -904, -1674, -1924, -1456, -1070, -665, 120, 2180]","[-4390, -9631, -12743, -9309, -3783, -4456, -2910, -1436, -1761, -1521, -1754, -1930, -2070, -2657, -3539, -4403, -4782, -5136, -5526, -6204, -7438, -8611, -9599, -10553, -10873, -10000, -9424, -8566, -5402, -1100, 2170, 7033, 9982, 11956, 13565, 16217, 18634, 20243, 21759, 23358]"
"[14794, 13859, 14512, 1376, 8224, 11910, 8036, 8601, 8876, 8404, 8217, 8356, 8439, 8792, 8789, 8825, 8681, 8796, 8834, 8783, 10101, 10553, 11464, 13153, 16548, 16605, 17057, 13890, 8719, 3584, 2509, 2891, 1739, 3106, 5157, 5435, 6741, 8610, 9359, 12378]","[-18459, 3774, 12830, 12844, 1408, -2306, 617, 2274, 232, -1492, -1177, 155, -715, -768, 266, 810, 427, 1124, 1440, 503, -160, 511, 371, 1041, -660, -1981, -3032, -564, 2514, 7820, 5061, 677, -183, 3001, 3164, 2696, 3172, 3716, 3172, 3969]","[3832, -5974, 410, -5164, -4345, -3755, -4708, -3631, -3160, -2377, -2950, -3342, -3141, -2638, -2699, -2802, -2895, -3130, -3099, -3737, -2164, -1468, -2109, -2801, -1651, -2219, -3596, -4331, -2753, -1929, -3773, -370, 221, -965, -566, -108, -1067, -1160, -566, -1647]","[-11908, 22652, 13804, 1925, -12736, -4419, 572, -1233, -3764, -3296, -1175, -2212, -3348, -2160, -1441, -1886, -2272, -1878, -3031, -3910, -3685, -3046, -3790, -5849, -8338, -10932, -8743, 1285, -416, 2705, 6, -11084, -1959, 1618, -212, 91, 2592, 737, -1488, -534]","[5686, -5168, -4842, -1619, -2083, -1341, -416, 100, 41, -72, -25, -239, -280, -304, -464, -681, -747, -873, -1176, -1394, -1111, -1432, -1750, -2574, -2756, -3734, -1684, -160, -668, -1077, -1914, 662, 289, -564, -21, 100, 71, 1148, 901, 487]","[-5374, -9523, -12781, -7438, -2611, -3175, -2305, -1293, -1184, -1131, -1873, -2093, -2663, -3256, -3626, -3893, -4262, -4551, -4774, -5242, -6209, -7537, -8733, -9883, -10652, -10759, -10344, -9435, -7071, -3233, 1095, 7973, 11407, 13819, 15369, 17956, 20590, 21633, 22351, 23182]"
"[14156, 13329, 16377, 5295, 6501, 12161, 9495, 8712, 9131, 8375, 8078, 8722, 8848, 8723, 8747, 9169, 8947, 9166, 9851, 10051, 9924, 10426, 11420, 14188, 16603, 17347, 14597, 10163, 6060, 3625, 4740, 2114, 1676, 3445, 5284, 5637, 6829, 9045, 10979, 13374]","[-18887, -1304, 7971, 14630, 3277, -1521, 1248, 2846, 122, -1040, 302, 788, -467, -363, 199, 860, 1041, 1116, 1000, -52, 242, 1156, 889, -826, -2433, -4273, -1774, 1205, 2227, 10332, 4800, 713, -667, 1659, 3494, 2916, 3018, 3580, 3709, 3869]","[3581, -1120, -2250, -2674, -4396, -5219, -3171, -1439, -2425, -2860, -2564, -2283, -2197, -2221, -2534, -2475, -2733, -2993, -2011, -1242, -1111, -2301, -2795, -3026, -2471, -3410, -3749, -3098, -3867, -2773, -3868, -353, -1137, -1578, -1426, -1396, -1689, -1776, -2292, -3563]","[-14257, 13257, 25760, -951, -13299, -6685, 1498, -393, -3389, -2267, -881, -2421, -3058, -1805, -1516, -1550, -1641, -1961, -2943, -3844, -1798, -1662, -3176, -4738, -6496, -8427, 272, 4700, 861, 3509, -872, -8483, -287, 2371, 3855, 3786, 3912, 3544, 2926, 782]","[4233, -3478, -7309, -812, -4800, -1889, -837, -592, -628, -508, -482, -652, -647, -641, -632, -619, -649, -726, -808, -755, -580, -780, -869, -1205, -1929, -950, 885, 1264, 162, -204, -290, 2525, 1223, 1031, 1341, 2098, 2416, 2746, 2579, 2675]","[-3419, -6763, -12459, -9528, -4395, -3896, -3060, -1753, -2099, -1782, -2068, -2291, -2637, -3248, -3772, -4083, -4329, -4593, -4942, -5885, -7159, -8106, -9049, -9990, -10791, -11071, -11349, -9733, -6248, -2020, 1395, 7461, 11033, 13110, 14584, 17487, 20110, 21533, 22772, 23559]"
"[16372, 13705, 17242, 4948, 7349, 12505, 7207, 8088, 8603, 8585, 8199, 8546, 8567, 9010, 8882, 8842, 8703, 8633, 8610, 8469, 8234, 8665, 8637, 8807, 9426, 9985, 10390, 11324, 13186, 15101, 15565, 12855, 9665, 6606, 2378, 3785, 4045, 2798, 4739, 6913]","[-19953, -5272, 10995, 12959, 2287, -4770, 1869, 3209, -1052, -3536, -3309, -1248, -1256, -1279, -195, 458, 360, 117, 572, 1649, 1471, 1001, 1983, 2489, 1465, 1333, 969, 694, -101, -865, -680, 1288, 3825, 3863, 6863, 2718, -1270, -241, 2417, 2185]","[-279, -4197, -134, -2594, -3004, -2152, -4147, -2973, -3356, -2048, -2919, -3284, -3326, -2394, -2362, -2651, -2658, -2581, -2694, -2829, -2993, -3282, -3513, -3719, -2486, -2402, -2523, -2499, -1957, -2451, -2701, -3559, -2108, -3654, -1627, -1377, 1829, 1382, 420, 655]","[-15516, 13624, 15124, -5403, -13849, -606, 4221, -2181, -6733, -4128, -236, -1063, -3054, -2800, -1685, -1587, -1843, -1394, -741, -1425, -2425, -2114, -2330, -3910, -4166, -3861, -4995, -6230, -7200, -8409, -9333, -6388, -3023, -10466, -9863, -10288, -12622, -780, 2216, 3313]","[4517, -4052, -4495, -485, -3637, -1018, -342, -334, -631, -479, -429, -699, -653, -563, -548, -663, -788, -1024, -1131, -1271, -1488, -1469, -1595, -1980, -1819, -1930, -2383, -2801, -3121, -3471, -3387, -3146, -3404, -4444, -4693, -5494, -2186, -3971, -4782, -2624]","[-454, -4380, -10716, -7059, -2837, -3108, -1200, -186, 113, -285, -1493, -2344, -2706, -3285, -3535, -3623, -3598, -3700, -3918, -3863, -3864, -4077, -4120, -3935, -4239, -4857, -5721, -6745, -8049, -8842, -8616, -7519, -6334, -4120, -981, 2169, 6883, 9553, 12396, 14523]"
"[15785, 14814, 18947, 1964, 6807, 13481, 9073, 7450, 9320, 8276, 7875, 8747, 8678, 8778, 8962, 8929, 8728, 8945, 9491, 9314, 9572, 9973, 10816, 12021, 15472, 16915, 17809, 15218, 9889, 3404, 3494, 2247, -58, 332, 1719, 2716, 3527, 5567, 7931, 10974]","[-23375, -3875, 17550, 15641, 3758, -3166, 232, 3213, -548, -2071, -618, 258, -1280, -880, 734, 1355, 1237, 1117, 1343, 370, -97, 783, 792, -111, -1609, -2131, -3578, -528, 3262, 8286, 7981, 4737, 2915, 2661, 2337, 1392, 765, 459, 1980, 5253]","[-4053, -2659, -38, -7424, -2978, -4932, -5047, -3868, -3009, -2365, -2584, -3097, -2815, -2407, -2680, -2973, -2840, -2877, -2311, -2118, -2064, -2160, -2493, -2705, -2996, -3125, -5128, -5553, -2952, -4237, -5001, -1503, -1291, -273, 1151, 2395, 2383, 1612, -228, -2245]","[-13286, 11036, 26961, -3718, -17429, -7051, 1328, -1007, -4687, -2506, -402, -2528, -3466, -1827, -1411, -1850, -2265, -2467, -3297, -3817, -3193, -2372, -3701, -4981, -5982, -7228, -6267, 4309, 4155, 7331, 3513, -7311, -7584, -7372, -8125, -3963, 1943, 8690, 14304, 10850]","[3255, -5711, -9966, -1418, -5325, -2016, -622, -446, -309, -302, -314, -643, -663, -624, -681, -653, -706, -758, -865, -1081, -843, -1090, -1440, -1918, -2309, -3068, -1147, 1179, 1731, 1335, -157, 4078, 3190, 2855, 2352, 1156, -1186, -2339, -2240, 1670]","[-4181, -7546, -13128, -9830, -3488, -3333, -2110, -1009, -1226, -1386, -1855, -2309, -2797, -3573, -4053, -4150, -4164, -4385, -4534, -5248, -6289, -7511, -8450, -9801, -10912, -11517, -11600, -11525, -10140, -6501, -3126, 2412, 7018, 10384, 12944, 15251, 17516, 18667, 19682, 21535]"
"[16852, 12562, 8988, 9387, 9301, 9379, 8911, 8759, 10984, 11990, 11132, 9410, 8691, 7834, 8907, 8778, 8301, 8182, 7953, 8975, 8188, 7178, 8449, 8563, 9429, 9454, 7959, 7456, 6790, 7042, 8971, 9287, 16446, 13310, 5624, 6224, 11979, 9357, 9276, 9018]","[-20996, 4428, -1877, -780, 2868, 565, 1324, 1549, 2378, 948, -339, 2813, 5226, 5287, 7190, 3619, 2255, 1656, 1996, 343, -1221, 1532, 3576, 391, -1828, -698, 361, 271, 687, 1113, -2680, -15286, -6977, 1402, 7656, 3939, 2897, 221, 2310, 3443]","[337, -1357, -998, -4588, -2985, -965, -1844, -2362, -784, -225, 605, 3847, 2672, -875, -2574, -181, 149, 1042, 1163, -429, -740, -1409, -2890, -4278, -4284, -3872, -3884, -4695, -4267, -3854, -356, 143, -2503, -216, -3874, -5988, -2548, -1414, -1038, -2707]","[-2615, 13238, 7872, 3488, 1542, 345, 505, -805, -5107, -7857, -5343, -3069, 2756, -6033, -12062, -21111, -21377, -19969, -16381, -12316, -6994, -4434, -8070, -11823, -11981, -10443, -9701, -8412, -7268, -7194, -8583, -5148, 6161, 7221, -1851, -6112, -5198, -1481, 904, -1845]","[-965, 1406, 370, -729, -481, -183, -154, -331, -609, -1016, -244, 262, -167, 1603, 549, 2936, 3398, 3897, 3938, 4408, 5464, 5295, 4648, 4635, 4855, 4781, 3353, 1535, -324, -1872, -1629, -12, -5312, -4917, -5769, -5347, -3320, -2198, -1574, -1154]","[-2441, -970, -1681, -3985, -1777, -791, -428, 743, 1638, 2226, 2122, 544, -1697, -1367, -1781, -1574, -439, 752, 1549, 2161, 2790, 4722, 7241, 9063, 9415, 8747, 7200, 4793, 943, -2710, -3489, -445, -5295, -6984, -5916, -3886, -2658, -1780, -817, 725]"
