
"[2743, 1144, 1427, 2540, 2211, 1716, 2493, 2179, 2018, 2289, 2186, 2254, 2224, 2138, 2271, 2289, 2219, 2277, 2301, 2373, 2391, 2055, 2327, 2318, 2081, 1513, 2945, 3382, 3045, 3197, 2302, 1916, 2710, 1142, 516, 330, 720, 1156, 1808, 0]","[-5389, 2609, 2705, -337, 2405, 313, -764, -1325, 1760, 1269, -464, -307, 502, 327, -67, 94, 240, 130, 17, 61, 58, 384, 74, -134, 53, 100, 714, 887, 910, -692, 539, -2117, -1553, -682, 83, -293, -301, -588, -1180, 0]","[-6445, 1144, -649, -1368, 1545, -185, -575, -817, 1061, 63, -743, -603, -148, 67, -187, -552, -483, -317, -129, -64, -85, -252, -696, -962, -565, 22, 211, -377, -774, -1511, -639, -947, -912, 215, 67, -432, -801, -404, -609, 0]","[-7298, 8339, 1266, 1825, 1982, -3787, -3752, 1609, 2463, -1328, -1816, 258, 389, -461, -357, 144, 68, 226, 83, 31, -296, -666, -940, -216, 40, -295, -348, -2426, -3875, -3189, -1348, -2477, 899, 2232, 952, 36, 836, 1159, 2547, 0]","[-1927, 3469, 966, 2119, 1227, -22, 30, 935, 1080, 3, -197, 203, 234, 57, 49, 112, 63, 143, 168, 193, 194, 280, 135, 227, 226, -145, -165, -275, -255, -363, -721, -1996, -611, 322, 9, -790, -801, -1360, -1170, 0]","[-271, -909, 1973, 25, 921, 1496, 860, -220, 234, 819, 647, 577, 558, 561, 578, 562, 609, 699, 730, 741, 804, 882, 1059, 1115, 1362, 1791, 2275, 3020, 3602, 3408, 2894, 2874, 1472, 16, -1343, -2004, -2746, -3558, -4544, 0]"
"[4208, 3637, 581, -599, 2509, 3503, 1540, 1316, 1590, 1577, 1550, 1632, 1697, 1658, 1622, 1571, 1515, 1530, 1596, 1623, 1592, 1575, 1583, 1622, 1658, 1687, 1706, 1711, 1717, 1725, 1719, 1720, 1716, 1701, 1685, 1661, 1650, 1654, 1648, 0]","[-9982, 744, 266, 47, -1011, -1347, -1191, -1192, -1344, -1181, -914, -1238, -1346, -1200, -1152, -1288, -1375, -1379, -1353, -1314, -1281, -1231, -1194, -1174, -1182, -1163, -1131, -1104, -1088, -1082, -1085, -1081, -1075, -1073, -1083, -1093, -1095, -1112, -1120, 0]","[-5057, 99, 884, 1813, -2047, -2177, -1452, -716, -971, -909, -877, -1000, -1061, -968, -913, -950, -962, -961, -993, -996, -977, -960, -968, -980, -996, -995, -962, -950, -945, -947, -972, -992, -1010, -1031, -1049, -1068, -1082, -1090, -1068, 0]","[-6170, -3428, 4300, -134, -1135, -1532, 431, -573, -460, 797, 740, 686, 688, 664, 235, -27, -31, 1, -64, -164, -180, -141, -148, -177, -192, -132, -59, -3, 2, -38, -91, -138, -168, -196, -217, -214, -187, -148, -87, 0]","[-5766, 3033, 2860, 481, -2044, -1017, 185, 160, -339, -128, -233, -136, -125, -103, -171, -149, -60, 5, 38, 76, 90, 89, 67, 50, 26, 18, 19, 20, 14, 7, -1, 1, 11, 22, 29, 29, 26, 21, 15, 0]","[-609, 1492, -261, -392, 197, -228, 490, 77, -128, -157, -190, -297, -368, -305, -149, -70, -92, -87, -23, 54, 90, 91, 93, 103, 117, 115, 92, 57, 33, 26, 35, 39, 37, 40, 44, 49, 45, 35, 17, 0]"
"[-633, 56, 823, 1395, 4079, 4049, 1469, -468, 11000, 1263, 1250, 2954, 3206, 3563, 3501, 2579, 2553, 2239, 1598, 724, 967, 998, 1924, 5662, 3941, 2719, 2833, 491, 874, 1473, 1926, 1233, 749, 1513, 3003, 3037, 2057, 2155, 1734, 0]","[6313, 372, 511, -221, -1413, -4051, -3297, -2271, -13834, 6695, -2895, 1455, -2561, -1062, 814, 382, 115, 697, 634, 364, -477, -401, -586, -1261, -772, -1394, 584, -29, -868, -1355, -3588, -1611, -604, -427, -2088, -3161, -1733, -362, -265, 0]","[3125, 1496, 1550, 636, -1028, -1166, -2840, -821, -459, -5442, -27, 1150, -226, 406, 70, -298, -757, -761, -575, -205, -1010, -1316, -413, 213, -123, 810, 1159, -1428, -648, -1002, -1522, -1362, -588, -437, -364, -1123, -332, -217, 0, 0]","[6028, -77, -2603, -3751, -3698, 90, 2088, 626, -3963, 2245, 792, 1381, -2091, 828, -142, -3414, -2677, -2371, -2534, -2872, -1943, -1836, 362, 3382, 4931, 5609, 2405, -3248, -4507, -4096, 2075, 3629, 1995, 67, -1291, 1461, 3493, 3424, 408, 0]","[379, -954, -1217, -1231, 875, 3282, 1884, 590, -2102, -3191, 452, 341, -541, 141, 342, -621, -334, -444, -215, -461, -879, -1856, -1800, -1295, -1260, -468, -1723, -2928, -2356, -108, 3220, 2582, 1174, 317, 319, 843, 958, 1201, 733, 0]","[-2684, -3541, -4281, -5377, -6256, -7388, -5420, -2874, 1492, 8871, 3465, 1700, 515, 1554, 1499, 1633, 1385, 1783, 1794, 1868, 1858, 2001, 2518, 2492, 1305, 1528, 1190, 505, -1352, -2280, -5025, -5943, -6319, -5553, -5282, -5806, -4727, -3138, -1678, 0]"
"[6030, 10688, 1055, 1318, 1032, 4802, 1742, 1647, 2067, 2721, 1983, 2002, 1807, 2006, 2744, 1848, 1818, 2206, 2077, 1890, 2317, 2209, 1842, 2101, 2168, 2180, 2209, 2084, 2625, 2223, 1766, 1704, 1608, 1399, 3458, 1480, 1505, 2450, 2121, 0]","[7751, -2128, 3738, -2269, -1070, -3853, -142, -273, -837, -1124, -990, 88, 32, -96, 128, -722, -1750, -3524, -2379, -1742, -2058, -1431, -518, -331, -657, -480, -116, -210, -1083, -171, 322, 820, 559, 62, -3521, 43, -642, 450, -352, 0]","[-1552, -4137, 1102, 1302, -1311, -134, -66, -418, -568, -781, -637, -241, -149, -568, -663, -1016, -743, -1030, -1084, -1202, -739, -190, 121, 48, -161, -367, -514, -501, -1185, 86, -182, -94, -172, 596, -2811, -474, 7, 382, -319, 0]","[6335, 679, -1147, -1822, -2349, 444, 2825, 433, -554, -339, 427, -16, -1496, -2355, -2305, -2460, -1962, -859, 29, -260, 238, 1384, 565, -1133, -2193, -2292, -2449, -2916, -2207, 404, 49, -718, -1781, -1368, -1759, 2699, 2062, 407, -1589, 0]","[1610, -499, -1948, 842, -281, -117, 245, -458, -432, -376, 0, 130, 43, 87, 182, -352, -573, -955, -1112, -1439, -1480, -685, -295, -137, 6, 357, 628, 647, 560, 1410, 1129, 761, 415, 566, 448, 1156, 898, 879, 508, 0]","[-1899, -2270, 4411, -2166, -50, -1150, -1281, -1253, -1110, -1449, -1597, -1593, -1331, -1082, -732, -271, 194, 882, 2131, 2960, 2825, 2163, 1963, 1738, 1384, 972, 548, 271, 468, -36, -194, -165, -288, -994, -445, -1418, -1754, -1645, -1586, 0]"
"[6496, 290, 9347, -625, 2254, 1609, 3197, 1802, 1612, 2341, 2233, 2116, 2136, 2093, 2200, 2144, 2194, 2187, 2137, 2242, 2209, 2228, 2202, 2089, 2237, 2131, 2103, 2072, 2018, 1960, 1965, 2031, 2033, 1952, 2008, 2044, 2320, 2433, 2552, 0]","[-7625, 2825, -1480, 478, -200, -1909, -2697, -1012, 887, 6, -1190, -788, -206, -303, -437, -119, -182, -175, -87, -284, -74, -52, -204, 141, 88, 77, 339, 507, 612, 961, 1091, 721, 619, 897, 829, 925, 1248, 627, 57, 0]","[-4916, -378, -6023, 1921, 1256, -861, -331, 83, -214, -435, -610, -512, -408, -356, -347, -543, -418, -222, -274, -220, -370, -478, -459, -440, -304, -246, -165, -220, -254, -206, -71, -287, -369, -433, -444, -427, -701, -950, -338, 0]","[-4428, 433, 4283, 2207, -726, -3904, -1257, 2587, 1691, -634, -542, 597, 377, -484, -358, -255, -320, -243, -150, -6, 39, -144, 15, 114, 40, 318, 421, -154, -513, -327, -380, -521, -453, -714, -741, -638, -1064, -917, 482, 0]","[622, -199, -203, 4152, 1615, -158, 272, 666, 252, -87, -116, 168, 132, -16, 13, 81, 91, 88, 89, 35, 32, -97, -74, -82, -117, -21, -55, -210, -332, -362, -663, -778, -724, -894, -921, -835, -1135, -1080, -115, 0]","[-2967, 1467, -26, 2035, -664, 241, -1017, -1227, -1044, -706, -658, -844, -848, -834, -823, -788, -810, -767, -761, -832, -930, -971, -1121, -1134, -1223, -1370, -1410, -1426, -1423, -1250, -908, -864, -931, -890, -885, -777, -310, -110, -384, 0]"
"[5465, 487, 1752, 2712, 2221, 2010, 2313, 2169, 2106, 1994, 2303, 2364, 2177, 2275, 2233, 2193, 2275, 2027, 1798, 2132, 2223, 2151, 2214, 2141, 2172, 2118, 2085, 2100, 2110, 2324, 1820, 2081, 2411, 2534, 2729, 2874, 2700, 2274, 2043, 0]","[6895, -2281, -1745, -787, -69, -56, -552, -183, -211, -75, -256, 7, -185, -204, -214, -85, -174, 264, 1816, 1491, 119, 132, 386, 175, 161, 601, 482, 376, 422, 386, 1388, 1192, -60, -347, -511, -588, -19, 688, 789, 0]","[-995, -2036, 166, 85, -323, -527, -734, -656, -401, -429, -559, -583, -498, -451, -566, -587, -486, -304, -4, -160, -510, -512, -570, -454, -457, -444, -364, -395, -379, -46, -147, -734, -796, -829, -1045, -863, -639, -344, -156, 0]","[7225, -3917, 582, 944, 819, 482, 1058, 1363, 899, 397, 451, 282, 173, 197, 11, -147, -89, 479, 1172, 478, 46, 473, 84, -26, 496, 575, 442, 570, 863, 1326, 277, -627, 20, 1842, 3224, 4550, 5605, 4992, 2881, 0]","[4245, -984, 434, 578, 52, 31, 174, 165, 59, 61, 134, 118, 119, 129, 126, 126, 151, 188, 282, -118, -276, -195, -308, -350, -268, -330, -455, -547, -585, -658, -756, -1309, -1322, -923, -673, -298, 198, 182, -195, 0]","[1372, 1367, 329, -38, 606, -72, -232, -145, -342, -399, -482, -536, -669, -849, -1102, -1260, -1554, -1598, -986, -109, 55, -15, -113, -245, -392, -409, -368, -382, -447, -459, -75, 519, 862, 931, 825, 545, 214, 196, 369, 0]"
"[6784, 4851, 4154, 4113, 4435, 2476, 1173, -46, -1197, -1673, -1527, -1524, -1438, -1438, -827, -181, 552, 1742, 2954, 4429, 3263, 3018, 5950, 4465, 2907, 2426, 2320, 1838, 1735, 2051, 2343, 2215, 1854, 1727, 1792, 2574, 4360, 1546, 2305, 0]","[4650, -1165, -1747, -3192, -2006, 166, 1732, 2207, 2464, 1968, 2355, 1037, 1498, 800, 503, 512, 603, 1478, -1163, -3336, -3088, -953, -1217, -4267, -2279, -1019, -2204, -1615, -665, -683, -1163, -840, 5, 125, -307, -2327, 313, 1037, -557, 0]","[-1120, -238, -973, -2794, -1418, -916, -70, 399, -79, -117, -643, -2629, -692, 294, -228, -300, -307, -719, -502, -2107, -1507, -439, -1997, -1279, -1125, -761, -1203, -1150, -794, -484, -441, -465, -340, -75, -229, -411, 160, -2161, -238, 0]","[519, 108, -5533, 231, 5362, 6149, 5527, 3037, 1141, 39, 823, 1663, 1062, 1666, -438, -1333, -2601, -2956, -469, -1178, 3355, 3665, -5, -549, 4646, 3278, 1493, 2982, 3657, 2520, 2367, 3059, 2599, 1457, -92, -350, 2406, 1166, -1937, 0]","[-5127, -3892, -6708, -7237, -4835, -3400, -1304, -108, 1086, 1998, 1576, 2468, 3029, 2416, 1327, 857, 825, 872, 1571, 1595, 2357, 1805, 1147, 1098, 1618, 841, 320, 659, 675, 328, 405, 576, 505, 322, 91, 245, 814, 283, -295, 0]","[8484, 9509, 8869, 7360, 6526, 5567, 5060, 4308, 3196, 1830, 642, -1665, -3699, -4338, -5017, -5912, -6577, -6585, -7717, -7784, -8714, -8548, -6562, -4710, -3455, -1482, -584, -892, -1290, -1228, -1152, -931, -804, -829, -898, -827, -1197, -748, -870, 0]"
"[7726, 669, 25, 541, 2134, 2186, 2103, 2177, 1653, 1425, 1531, 1610, 1603, 1654, 1654, 1591, 1437, 1320, 1394, 1483, 1536, 1524, 1525, 1548, 1618, 1696, 1761, 1788, 1769, 1734, 1734, 1763, 1802, 1834, 1813, 1797, 1739, 1697, 1682, 0]","[-8954, 840, 813, 832, -298, -1327, -1776, -1754, -1556, -1249, -1116, -1185, -1220, -1272, -1395, -1540, -1487, -1454, -1448, -1444, -1408, -1358, -1280, -1198, -1173, -1160, -1170, -1152, -1094, -1030, -981, -973, -981, -966, -1000, -1025, -1060, -1099, -965, 0]","[-8092, -1596, 518, 1325, -1221, -1727, -1841, -1467, -1106, -744, -848, -896, -785, -697, -708, -820, -835, -790, -877, -964, -1065, -1089, -1017, -952, -994, -1066, -1076, -1053, -985, -933, -892, -895, -897, -864, -913, -936, -975, -1042, -1049, 0]","[-1110, -1181, 5866, -1963, -4366, -3689, -686, -1379, -10, 1206, 1320, 1445, 1472, 980, 331, -131, -320, -386, -402, -451, -480, -387, -229, -271, -380, -347, -195, -6, 204, 370, 407, 310, 174, -22, -304, -308, -444, -354, -404, 0]","[-1564, -657, 2746, -501, -1400, -1674, -725, -116, 93, 165, 121, 207, 113, -132, -318, -370, -258, -207, -150, 0, 157, 247, 316, 296, 158, -3, -68, -76, -58, -18, 1, -30, -37, -1, -40, 22, 40, 44, 60, 0]","[-2265, 3996, 1546, -1, -361, -126, 485, 257, -85, -210, -376, -630, -648, -453, -162, 57, 121, 82, 65, 99, 114, 121, 104, 79, 79, 70, 80, 67, 17, -51, -98, -106, -92, -44, 17, 68, 89, 68, 16, 0]"
"[9193, -1639, -425, 2569, 3388, 1269, 1762, 2137, 1908, 1861, 2193, 2043, 2096, 2065, 2024, 2008, 2038, 2068, 2053, 2018, 2015, 2000, 1993, 2012, 2017, 2010, 2028, 2033, 2032, 2028, 2018, 2023, 2023, 2019, 2019, 2021, 2020, 2027, 2018, 0]","[-6584, 586, 219, -352, -120, -120, 183, -398, -248, -185, -273, -263, -190, -299, -316, -330, -299, -256, -195, -166, -207, -229, -220, -236, -233, -212, -220, -225, -237, -221, -197, -195, -216, -210, -207, -204, -204, -205, -204, 0]","[-9254, 254, -210, -1377, -1279, -1033, -1339, -1463, -1214, -1073, -1004, -923, -843, -893, -953, -1024, -1039, -1009, -990, -1013, -1079, -1134, -1145, -1115, -1048, -1001, -995, -1002, -1007, -1017, -1029, -1040, -1048, -1051, -1061, -1052, -1047, -1045, -1045, 0]","[1740, -1369, 1411, 928, -380, 599, 221, -185, -244, -55, -272, -35, -273, -257, -241, -149, -3, 134, 137, 20, -100, -122, -96, -73, -53, -94, -143, -143, -89, -47, -46, -66, -70, -63, -70, -81, -74, -67, -65, 0]","[-1097, -3690, -183, -185, -90, 115, -39, 206, 27, 132, 82, 133, 50, 39, 26, -20, -47, -46, -40, -42, -41, -16, 10, 25, 48, 42, 21, 8, 7, 6, -4, -12, -13, -5, -2, 0, 5, 11, 13, 0]","[-600, 1958, 32, -121, -557, 123, 7, -44, 148, 77, 40, 92, 55, 74, 33, -7, -59, -94, -89, -55, -25, -14, -14, -19, -23, -16, -7, -8, -20, -30, -26, -19, -18, -18, -17, -13, -15, -20, -18, 0]"
"[4372, 3326, 651, 2243, 2302, 1106, 860, 840, 771, 833, 898, 853, 851, 846, 743, 505, 458, 533, 767, 1043, 968, 1357, 1640, 1872, 1924, 2204, 2019, 2067, 2381, 2439, 2532, 2905, 3507, 1344, 1667, 1458, 1670, 1915, 2055, 0]","[-9344, -2502, -167, -1174, -2083, -1864, -1964, -1925, -1550, -1602, -1479, -1337, -1415, -1360, -1233, -881, -564, -553, -1021, -1230, -761, -1124, -1095, -1445, -1054, -1364, -1140, -764, -994, -1299, -1397, -1780, -2629, -1326, -1213, -715, -1107, -1590, -1460, 0]","[-6030, 194, 239, -1223, -1731, -1006, -817, -1121, -1103, -951, -898, -865, -900, -838, -747, -603, -465, -465, -695, -737, -605, -815, -786, -733, -749, -871, -717, -825, -1215, -1476, -1492, -1556, -2577, -785, -1186, -1103, -1269, -1319, -1240, 0]","[-3371, -5981, 2833, 133, -730, 753, 745, -169, -282, 18, 116, -31, -61, 212, 535, 776, 684, 155, -8, -30, 85, 532, 162, -478, -684, -1295, -1636, -2311, -2566, -1679, -487, 219, -6, -1072, 488, -139, -451, -104, 871, 0]","[-1426, -1842, 1392, 276, -1021, -646, 64, 53, 20, -85, -196, -325, -550, -561, -550, -475, -434, -434, -324, -165, 73, 352, 233, 363, 448, 480, 404, 402, 578, 769, 956, 705, -85, -631, 197, -83, -102, -346, -321, 0]","[-2619, 1860, 1954, 2017, 1647, 1958, 2393, 2360, 2375, 2278, 1979, 1753, 1516, 1113, 641, 103, -437, -911, -1379, -1859, -2303, -2607, -2644, -2719, -2764, -2698, -2519, -2327, -2173, -2110, -1997, -1484, 64, 1030, 467, 689, 749, 825, 917, 0]"
